# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:34:36.957
# DATE-END: 2025-01-20T22:34:37.016
# TSTART: 1737412476956.55
# TSTOP: 1737412477956.55
# DATE: 2025-01-20T22:34:40
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0915809975853
# DEC: 22.0165135710814
# EQUINOX: 2000.0
# CRVAL1: 83.0915809975853
# CRVAL2: 22.0165135710814
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00181830249224843
# CD1_2: 0.000165894350969825
# CD2_1: -0.000165785745949572
# CD2_2: -0.00181916788458757
# A_ORDER: 2
# A_0_2: -9.16878555585806e-08
# A_1_1: 7.17715404811822e-08
# A_2_0: 2.7243032325322e-08
# B_ORDER: 2
# B_0_2: -3.59876866078873e-08
# B_1_1: 2.11842455348978e-07
# B_2_0: -3.88978312770751e-08
# AP_ORDER: 2
# AP_0_0: -3.20632355184832e-08
# AP_0_1: 2.34307470737527e-08
# AP_0_2: 9.16882051629024e-08
# AP_1_0: -1.7208320031657e-08
# AP_1_1: -7.17716326605749e-08
# AP_2_0: -2.7243135520399e-08
# BP_ORDER: 2
# BP_0_0: 2.05628917967123e-09
# BP_0_1: 2.85566726574702e-08
# BP_0_2: 3.59879387213203e-08
# BP_1_0: -1.56590500058295e-08
# BP_1_1: -2.11843309109951e-07
# BP_2_0: 3.88978754997107e-08
# NOME_FILE_FITS: 20250120_223436.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_078.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.150__DEC_21.552,3049.788282237044,1125.6054233964624,80.14960117002605,21.55200379196937,5.0,12.0,NO,63,102.3785430643686,91.24452604446093,87.66,1.45,91.24452604446093,87.66,1.45,34.76958213952125,27.64,1.73,3.5,2,78,SI (Rank 1),II/389/ps1_dr2,1.338608014951502e+17,80.14977951,21.5498968,11.7693,91.24,87.66,1.45,3.5
RA_80.150__DEC_21.552,3049.788282237044,1125.6054233964624,80.14960117002605,21.55200379196937,5.0,12.0,NO,64,102.3785430643686,91.24452604446093,87.60,1.43,91.24452604446093,87.60,1.43,34.76958213952125,27.70,1.70,3.5,2,78,SI (Rank 2),II/389/ps1_dr2,1.3386080150082093e+17,80.14998839,21.55006801,12.515,91.24,87.60,1.43,3.5
RA_80.150__DEC_21.552,3049.788282237044,1125.6054233964624,80.14960117002605,21.55200379196937,5.0,12.0,NO,64,102.3785430643686,91.24452604446093,87.60,1.43,91.24452604446093,87.60,1.43,34.76958213952125,27.70,1.70,3.5,2,78,SI (Rank 3),II/389/ps1_dr2,1.3386080149885064e+17,80.14996924,21.55005665,12.597,91.24,87.60,1.43,3.5
RA_80.184__DEC_22.830,2954.501388351845,431.48829520656886,80.18600459051909,22.8303127359222,4.0,10.0,NO,19,82.52173350786573,80.59668172700009,80.83,2.61,80.59668172700009,81.08,2.82,11.74547900793786,22.67,4.06,3.5,2,78,SI (Rank 1),II/389/ps1_dr2,1.3539080186698413e+17,80.18667401,22.82794179,10.3049,81.12,81.15,2.46,3.55
RA_80.184__DEC_22.830,2954.501388351845,431.48829520656886,80.18600459051909,22.8303127359222,4.0,10.0,NO,18,82.52173350786573,80.59668172700009,80.94,2.75,80.59668172700009,81.20,2.98,11.74547900793786,23.24,4.25,3.5,2,78,SI (Rank 2),II/389/ps1_dr2,1.3539080187081389e+17,80.18692055,22.82768065,10.987,81.37,81.51,2.62,3.58
RA_80.184__DEC_22.830,2954.501388351845,431.48829520656886,80.18600459051909,22.8303127359222,4.0,10.0,NO,18,82.52173350786573,80.59668172700009,80.94,2.75,80.59668172700009,81.20,2.98,11.74547900793786,23.24,4.25,3.5,2,78,SI (Rank 3),II/389/ps1_dr2,1.3539080186628378e+17,80.18668317,22.82758387,11.0817,81.37,81.51,2.62,3.58
RA_80.184__DEC_22.830,2954.501388351845,431.48829520656886,80.18600459051909,22.8303127359222,4.0,10.0,NO,19,82.52173350786573,80.59668172700009,80.83,2.61,80.59668172700009,81.08,2.82,11.74547900793786,22.67,4.06,3.5,2,78,SI (Rank 4),II/389/ps1_dr2,1.353908018718042e+17,80.18725443,22.82826548,11.3776,81.12,81.15,2.46,3.55
RA_80.453__DEC_23.287,2793.505468957978,197.5317476307724,80.45253717143086,23.28681163717403,4.0,10.0,NO,2,73.54270072900391,73.41093736979757,73.41,NaN,73.41093736979757,73.41,NaN,13.224632158764363,13.22,NaN,3.5,2,78,NO,,INT_202,,,,73.41,73.41,NaN,3.5
RA_80.461__DEC_20.935,2928.125711400122,1479.5327518772333,80.46144270621737,20.933905136340872,17.0,18.0,NO,115,187.2156221626468,168.3002357484027,149.91,1.46,168.3002357484027,150.06,1.49,131.7838473322828,116.20,1.54,3.5,2,78,SI (Rank 1),II/389/ps1_dr2,1.3312080462564131e+17,80.46241238,20.9338135,8.9963,170.29,151.50,1.49,3.62
RA_80.461__DEC_20.935,2928.125711400122,1479.5327518772333,80.46144270621737,20.933905136340872,17.0,18.0,NO,116,187.2156221626468,168.3002357484027,150.09,1.46,168.3002357484027,150.24,1.48,131.7838473322828,116.39,1.54,3.5,2,78,SI (Rank 2),II/389/ps1_dr2,1.3312080462093085e+17,80.46213532,20.9336141,11.3206,170.28,151.67,1.48,3.61
RA_80.494__DEC_22.956,2792.458932434432,380.3503532716727,80.49362444899698,22.955341834168607,32.0,35.0,NO,72,360.429979133876,324.4999502474484,309.04,3.01,324.4999502474484,310.34,3.01,291.6922489301369,282.75,2.81,3.907571126830793,2,78,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,331.94,315.89,2.75,4.19
RA_80.494__DEC_22.956,2792.458932434432,380.3503532716727,80.49362444899698,22.955341834168607,32.0,35.0,NO,59,360.429979133876,324.4999502474484,309.04,3.01,324.4999502474484,310.34,3.01,291.6922489301369,282.75,2.81,3.907571126830793,2,78,SI (Rank 2),II/389/ps1_dr2,1.3554080494877482e+17,80.49473708,22.95344273,13.0488,331.94,315.89,2.75,4.19
