# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:40:01.653
# DATE-END: 2025-01-20T22:40:02.712
# TSTART: 1737412801653.14
# TSTOP: 1737412802653.14
# DATE: 2025-01-20T22:40:05
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.091683943323
# DEC: 22.016302571929
# EQUINOX: 2000.0
# CRVAL1: 83.091683943323
# CRVAL2: 22.016302571929
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00181667728739418
# CD1_2: -0.000181721369339929
# CD2_1: 0.00018194186993612
# CD2_2: -0.00181757200275418
# A_ORDER: 2
# A_0_2: 3.34749758179028e-08
# A_1_1: 7.50997006991683e-08
# A_2_0: -1.17640517689706e-07
# B_ORDER: 2
# B_0_2: 1.6207287403617e-07
# B_1_1: 1.58032182116652e-07
# B_2_0: -7.52335344254259e-08
# AP_ORDER: 2
# AP_0_0: 1.45475400303852e-07
# AP_0_1: -7.58809106561367e-09
# AP_0_2: -3.34753662830874e-08
# AP_1_0: 4.05909624276634e-08
# AP_1_1: -7.50998137257212e-08
# AP_2_0: 1.17640333022893e-07
# BP_ORDER: 2
# BP_0_0: 2.8807994659393e-07
# BP_0_1: 1.37545472930973e-08
# BP_0_2: -1.62074557645602e-07
# BP_1_0: 3.94906386432796e-08
# BP_1_1: -1.58033147024154e-07
# BP_2_0: 7.52336733828314e-08
# NOME_FILE_FITS: 20250120_224001.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_094.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.020__DEC_21.153,3051.1894951981885,1634.7574055406749,80.02106573100492,21.151674838812674,23.0,20.0,NO,28,254.2534229195885,212.7893162666277,187.57,3.50,218.2582892611269,190.16,3.61,185.37390902055813,154.10,3.90,4.085306416462157,2,94,SI (Rank 1),II/389/ps1_dr2,1.3338080022393216e+17,80.02253296,21.15154469,8.558,218.57,195.12,3.29,4.1
RA_80.020__DEC_21.153,3051.1894951981885,1634.7574055406749,80.02106573100492,21.151674838812674,23.0,20.0,NO,28,254.2534229195885,212.7893162666277,187.57,3.50,218.2582892611269,190.16,3.61,185.37390902055813,154.10,3.90,4.085306416462157,2,94,SI (Rank 2),II/389/ps1_dr2,1.3338080022716222e+17,80.02255659,21.15158773,9.305,218.57,195.12,3.29,4.1
RA_80.149__DEC_21.080,2982.3325439839696,1668.6843959897703,80.14971608247858,21.079807881561013,3.0,9.0,NO,25,77.07708032465811,78.74540601127869,84.06,1.04,78.74540601127869,84.06,1.04,14.832449927194714,21.04,1.90,3.5,2,94,SI (Rank 1),II/389/ps1_dr2,1.3329080151379448e+17,80.15121634,21.07842576,10.8712,78.75,84.06,1.04,3.5
RA_80.149__DEC_21.080,2982.3325439839696,1668.6843959897703,80.14971608247858,21.079807881561013,3.0,9.0,NO,23,77.07708032465811,78.74540601127869,84.33,1.12,78.74540601127869,84.33,1.12,14.832449927194714,21.05,2.02,3.5,2,94,SI (Rank 2),II/389/ps1_dr2,1.3329080151480406e+17,80.15155915,21.07802442,11.0376,78.75,84.33,1.12,3.5
RA_80.150__DEC_21.552,3002.6849919277893,1410.674397857166,80.1506820209492,21.552136853063747,3.0,10.0,NO,63,75.75871647883974,81.6243196272166,87.66,1.45,81.6243196272166,87.66,1.45,12.7662101638493,27.64,1.73,3.5,2,94,SI (Rank 1),II/389/ps1_dr2,1.338608014951502e+17,80.14977951,21.5498968,11.7693,81.62,87.66,1.45,3.5
RA_80.150__DEC_21.552,3002.6849919277893,1410.674397857166,80.1506820209492,21.552136853063747,3.0,10.0,NO,64,75.75871647883974,81.6243196272166,87.60,1.43,81.6243196272166,87.60,1.43,12.7662101638493,27.70,1.70,3.5,2,94,SI (Rank 2),II/389/ps1_dr2,1.3386080150082093e+17,80.14998839,21.55006801,12.515,81.62,87.60,1.43,3.5
RA_80.150__DEC_21.552,3002.6849919277893,1410.674397857166,80.1506820209492,21.552136853063747,3.0,10.0,NO,64,75.75871647883974,81.6243196272166,87.60,1.43,81.6243196272166,87.60,1.43,12.7662101638493,27.70,1.70,3.5,2,94,SI (Rank 3),II/389/ps1_dr2,1.3386080149885064e+17,80.14996924,21.55005665,12.597,81.62,87.60,1.43,3.5
RA_80.154__DEC_20.963,2974.7287462905333,1732.5171108526968,80.15446847812878,20.962582687186423,25.0,20.0,NO,49,271.9354528886448,225.81896488189,239.39,2.92,226.22540281072023,244.71,3.14,187.27678446568905,212.73,2.85,3.8640262248734594,2,94,SI (Rank 1),II/389/ps1_dr2,1.331508015495548e+17,80.154878,20.961847,9.857,241.11,253.57,2.49,4.4
RA_80.154__DEC_20.963,2974.7287462905333,1732.5171108526968,80.15446847812878,20.962582687186423,25.0,20.0,NO,49,271.9354528886448,225.81896488189,239.39,2.92,226.22540281072023,244.71,3.14,187.27678446568905,212.73,2.85,3.8640262248734594,2,94,SI (Rank 2),II/389/ps1_dr2,1.3315080154823437e+17,80.15493865,20.96174985,10.5492,241.11,253.57,2.49,4.4
RA_80.154__DEC_20.963,2974.7287462905333,1732.5171108526968,80.15446847812878,20.962582687186423,25.0,20.0,NO,51,271.9354528886448,225.81896488189,239.52,2.80,226.22540281072023,244.99,3.01,187.27678446568905,213.15,2.75,3.8640262248734594,2,94,SI (Rank 3),II/389/ps1_dr2,1.3315080154388456e+17,80.15457634,20.96179317,13.578,241.15,253.68,2.40,4.4
