# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:43:45.192
# DATE-END: 2025-01-20T22:43:46.251
# TSTART: 1737413025191.77
# TSTOP: 1737413026191.77
# DATE: 2025-01-20T22:43:49
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0910020509996
# DEC: 22.0167450653919
# EQUINOX: 2000.0
# CRVAL1: 83.0910020509996
# CRVAL2: 22.0167450653919
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00177853019481291
# CD1_2: -0.000412297151957841
# CD2_1: 0.000412593420948751
# CD2_2: -0.00177932282698753
# A_ORDER: 2
# A_0_2: -2.41901339848209e-07
# A_1_1: 1.103370931223e-07
# A_2_0: -3.67006702693657e-07
# B_ORDER: 2
# B_0_2: 1.56206114717949e-07
# B_1_1: 6.14829435317768e-07
# B_2_0: -7.60502604498231e-07
# AP_ORDER: 2
# AP_0_0: 4.08818592561033e-06
# AP_0_1: 1.93028467506159e-07
# AP_0_2: 2.41903130011901e-07
# AP_1_0: 2.43161901841601e-07
# AP_1_1: -1.10341844162857e-07
# AP_2_0: 3.6699918902814e-07
# BP_ORDER: 2
# BP_0_0: 1.51259610881027e-06
# BP_0_1: -2.76192826085723e-07
# BP_0_2: -1.56209516633814e-07
# BP_1_0: 4.01924808542243e-07
# BP_1_1: -6.14834390175421e-07
# BP_2_0: 7.60501821664059e-07
# NOME_FILE_FITS: 20250120_224345.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_105.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_79.884__DEC_21.014,3014.5424033849663,1912.772802279019,79.8830621002625,21.0142676161114,12.0,11.0,NO,9,162.8709156132095,122.42958457656148,114.40,2.29,122.42958457656148,114.40,2.29,74.35519664746498,63.99,3.38,3.5,2,105,SI (Rank 1),II/389/ps1_dr2,1.3321079884512557e+17,79.88437705,21.01246463,9.5233,122.43,114.40,2.29,3.5
RA_79.884__DEC_21.014,3014.5424033849663,1912.772802279019,79.8830621002625,21.0142676161114,12.0,11.0,NO,9,162.8709156132095,122.42958457656148,114.40,2.29,122.42958457656148,114.40,2.29,74.35519664746498,63.99,3.38,3.5,2,105,SI (Rank 2),II/389/ps1_dr2,1.332107988462959e+17,79.88459121,21.01265498,9.793,122.43,114.40,2.29,3.5
RA_79.884__DEC_21.014,3014.5424033849663,1912.772802279019,79.8830621002625,21.0142676161114,12.0,11.0,NO,9,162.8709156132095,122.42958457656148,114.40,2.29,122.42958457656148,114.40,2.29,74.35519664746498,63.99,3.38,3.5,2,105,SI (Rank 3),II/389/ps1_dr2,1.3321079885047576e+17,79.88509068,21.01250865,10.4935,122.43,114.40,2.29,3.5
RA_80.020__DEC_21.153,2960.396649181334,1823.645538006859,80.02210604674606,21.15293865868765,19.0,16.0,NO,28,225.031390015371,183.3022016694237,187.57,3.50,190.5535791052632,190.16,3.61,161.58680495827093,154.10,3.90,4.089767039718539,2,105,SI (Rank 1),II/389/ps1_dr2,1.3338080022393216e+17,80.02253296,21.15154469,8.558,190.74,195.12,3.29,4.1
RA_80.020__DEC_21.153,2960.396649181334,1823.645538006859,80.02210604674606,21.15293865868765,19.0,16.0,NO,28,225.031390015371,183.3022016694237,187.57,3.50,190.5535791052632,190.16,3.61,161.58680495827093,154.10,3.90,4.089767039718539,2,105,SI (Rank 2),II/389/ps1_dr2,1.3338080022716222e+17,80.02255659,21.15158773,9.305,190.74,195.12,3.29,4.1
RA_80.150__DEC_21.552,2940.68188828086,1595.325383397759,80.15204938551929,21.55332343805831,3.0,9.0,NO,9,69.22581299310832,74.32979110086906,82.55,2.24,74.32979110086906,82.55,2.24,14.042805185958365,22.04,3.20,3.5,2,105,NO,,INT_119,,,,74.33,82.55,2.24,3.5
RA_80.154__DEC_20.963,2872.193565953932,1910.9354549572115,80.15511008322805,20.963418524628533,26.0,25.0,NO,49,321.6901015913668,238.7601150458152,239.39,2.92,253.88870197223,244.71,3.14,228.0749292639859,212.73,2.85,4.172243177500708,2,105,SI (Rank 1),II/389/ps1_dr2,1.331508015495548e+17,80.154878,20.961847,9.857,261.58,253.57,2.49,4.4
RA_80.154__DEC_20.963,2872.193565953932,1910.9354549572115,80.15511008322805,20.963418524628533,26.0,25.0,NO,49,321.6901015913668,238.7601150458152,239.39,2.92,253.88870197223,244.71,3.14,228.0749292639859,212.73,2.85,4.172243177500708,2,105,SI (Rank 2),II/389/ps1_dr2,1.3315080154823437e+17,80.15493865,20.96174985,10.5492,261.58,253.57,2.49,4.4
RA_80.154__DEC_20.963,2872.193565953932,1910.9354549572115,80.15511008322805,20.963418524628533,26.0,25.0,NO,51,321.6901015913668,238.7601150458152,239.52,2.80,253.88870197223,244.99,3.01,228.0749292639859,213.15,2.75,4.172243177500708,2,105,SI (Rank 3),II/389/ps1_dr2,1.3315080154388456e+17,80.15457634,20.96179317,13.578,261.63,253.68,2.40,4.4
RA_80.156__DEC_20.830,2856.053257189254,1982.2635297789377,80.15707366140151,20.829871478197603,58.0,45.0,NO,32,784.8359283451334,704.4474568411252,731.70,3.87,710.2419698511469,745.88,4.32,683.832063948771,727.88,4.79,5.322374165499307,2,105,SI (Rank 1),I/239/hip_main,24945.0,80.15796755,20.8299402069,7.71,729.9,756.59,3.47,5.79
