# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:45:26.836
# DATE-END: 2025-01-20T22:45:27.905
# TSTART: 1737413126835.87
# TSTOP: 1737413127835.87
# DATE: 2025-01-20T22:45:30
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0918071081054
# DEC: 22.0167747125046
# EQUINOX: 2000.0
# CRVAL1: 83.0918071081054
# CRVAL2: 22.0167747125046
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00175299028478508
# CD1_2: -0.000511861428586553
# CD2_1: 0.000510911485567378
# CD2_2: -0.00175365295910672
# A_ORDER: 2
# A_0_2: -8.45527329613555e-09
# A_1_1: 2.02182983713934e-07
# A_2_0: 7.20028552877292e-08
# B_ORDER: 2
# B_0_2: 5.44469716308761e-07
# B_1_1: 2.74484363386205e-07
# B_2_0: 1.24524420434231e-07
# AP_ORDER: 2
# AP_0_0: 1.82139524610066e-06
# AP_0_1: 7.32261934045573e-08
# AP_0_2: 8.45417601649602e-09
# AP_1_0: 1.05951764029617e-07
# AP_1_1: -2.02188023650409e-07
# AP_2_0: -7.20049820621417e-08
# BP_ORDER: 2
# BP_0_0: 8.95974045332556e-06
# BP_0_1: 6.20724464073479e-07
# BP_0_2: -5.44493114122905e-07
# BP_1_0: 2.60953851936739e-07
# BP_1_1: -2.74500640020451e-07
# BP_2_0: -1.24528986684328e-07
# NOME_FILE_FITS: 20250120_224526.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_110.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_79.884__DEC_21.014,2962.265687768833,1994.1534247777272,79.8796895772587,21.010418534394883,8.0,9.0,NO,14,120.73146365972002,105.28323601286236,113.24,1.71,105.28323601286236,113.24,1.71,64.73993618164984,63.67,2.53,3.5,2,110,SI (Rank 1),II/389/ps1_dr2,1.3321079884512557e+17,79.88437705,21.01246463,9.5233,105.28,113.24,1.71,3.5
RA_79.884__DEC_21.014,2962.265687768833,1994.1534247777272,79.8796895772587,21.010418534394883,8.0,9.0,NO,14,120.73146365972002,105.28323601286236,113.24,1.71,105.28323601286236,113.24,1.71,64.73993618164984,63.67,2.53,3.5,2,110,SI (Rank 2),II/389/ps1_dr2,1.332107988462959e+17,79.88459121,21.01265498,9.793,105.28,113.24,1.71,3.5
RA_79.884__DEC_21.014,2962.265687768833,1994.1534247777272,79.8796895772587,21.010418534394883,8.0,9.0,NO,14,120.73146365972002,105.28323601286236,113.24,1.71,105.28323601286236,113.24,1.71,64.73993618164984,63.67,2.53,3.5,2,110,SI (Rank 3),II/389/ps1_dr2,1.3321079885047576e+17,79.88509068,21.01250865,10.4935,105.28,113.24,1.71,3.5
RA_79.906DEC21.587,3032.135233235193,1687.5731224588435,79.90398553909948,21.584056531531104,17.0,19.0,NO,48,210.7010476037828,160.744443709132,148.41,2.80,160.744443709132,149.32,2.95,119.52667283619506,112.94,3.18,3.5,2,110,SI (Rank 1),II/389/ps1_dr2,1.339007990663523e+17,79.90661686,21.5845955,10.487,168.75,152.97,2.91,3.79
RA_79.906DEC21.587,3032.135233235193,1687.5731224588435,79.90398553909948,21.584056531531104,17.0,19.0,NO,48,210.7010476037828,160.744443709132,148.41,2.80,160.744443709132,149.32,2.95,119.52667283619506,112.94,3.18,3.5,2,110,SI (Rank 2),II/389/ps1_dr2,1.3390079906424189e+17,79.90653608,21.58455248,11.704,168.75,152.97,2.91,3.79
RA_79.906DEC21.587,3032.135233235193,1687.5731224588435,79.90398553909948,21.584056531531104,17.0,19.0,NO,48,210.7010476037828,160.744443709132,148.41,2.80,160.744443709132,149.32,2.95,119.52667283619506,112.94,3.18,3.5,2,110,SI (Rank 3),II/389/ps1_dr2,1.3390079907025203e+17,79.90693672,21.58459732,12.816,168.75,152.97,2.91,3.79
RA_80.020DEC21.153,2913.302710408952,1902.0714928774453,80.01893364191865,21.149515784574515,24.0,18.0,NO,43,253.56950508557725,211.72175273794048,190.32,2.57,211.72175273794048,192.93,2.64,171.52063339783416,157.51,2.83,3.977948727291661,2,110,SI (Rank 1),II/389/ps1_dr2,1.3338080022393216e+17,80.02253296,21.15154469,8.558,216.96,198.84,2.40,4.2
RA_80.020DEC21.153,2913.302710408952,1902.0714928774453,80.01893364191865,21.149515784574515,24.0,18.0,NO,43,253.56950508557725,211.72175273794048,190.32,2.57,211.72175273794048,192.93,2.64,171.52063339783416,157.51,2.83,3.977948727291661,2,110,SI (Rank 2),II/389/ps1_dr2,1.3338080022716222e+17,80.02255659,21.15158773,9.305,216.96,198.84,2.40,4.2
RA_80.149DEC21.080,2838.6734085004373,1923.3161781536744,80.1488063602603,21.076533188451226,3.0,8.0,NO,29,86.05320479885533,84.63652325320456,84.54,1.07,84.63652325320456,84.54,1.07,11.486038844223769,21.90,1.88,3.5,2,110,SI (Rank 1),II/389/ps1_dr2,1.3329080151379448e+17,80.15121634,21.07842576,10.8712,84.64,84.54,1.07,3.5
RA_80.149DEC21.080,2838.6734085004373,1923.3161781536744,80.1488063602603,21.076533188451226,3.0,8.0,NO,29,86.05320479885533,84.63652325320456,84.54,1.07,84.63652325320456,84.54,1.07,11.486038844223769,21.90,1.88,3.5,2,110,SI (Rank 2),II/389/ps1_dr2,1.3329080151480406e+17,80.15155915,21.07802442,11.0376,84.64,84.54,1.07,3.5
