# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:46:27.534
# DATE-END: 2025-01-20T22:46:28.603
# TSTART: 1737413187533.97
# TSTOP: 1737413188533.98
# DATE: 2025-01-20T22:46:31
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0920634853593
# DEC: 22.0168226217854
# EQUINOX: 2000.0
# CRVAL1: 83.0920634853593
# CRVAL2: 22.0168226217854
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00173549447655177
# CD1_2: -0.000568639992794128
# CD2_1: 0.0005676876344445
# CD2_2: -0.00173620001330771
# A_ORDER: 2
# A_0_2: -1.57525686885782e-07
# A_1_1: 1.25948232514603e-07
# A_2_0: 1.00438351092148e-07
# B_ORDER: 2
# B_0_2: 6.80411986011099e-07
# B_1_1: 3.46894669808232e-07
# B_2_0: 1.40776973186238e-07
# AP_ORDER: 2
# AP_0_0: -2.18748187134447e-07
# AP_0_1: -1.24597196413958e-07
# AP_0_2: 1.57529420723956e-07
# AP_1_0: 4.20416474311274e-08
# AP_1_1: -1.25948482020324e-07
# AP_2_0: -1.00439495749223e-07
# BP_ORDER: 2
# BP_0_0: 7.2130586127687e-06
# BP_0_1: 8.96266751744401e-07
# BP_0_2: -6.80430208624374e-07
# BP_1_0: 3.76586602548661e-07
# BP_1_1: -3.46907971787811e-07
# BP_2_0: -1.40780874648321e-07
# NOME_FILE_FITS: 20250120_224627.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_113.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_79.884__DEC_21.014,2929.9949133464293,2040.0046766158,79.87981110849717,21.009925146637688,9.0,11.0,NO,14,125.41175823746444,105.40096625202987,113.24,1.71,105.40096625202987,113.24,1.71,47.99631797630349,63.67,2.53,3.5,2,113,SI (Rank 1),II/389/ps1_dr2,1.3321079884512557e+17,79.88437705,21.01246463,9.5233,105.4,113.24,1.71,3.5
RA_79.884__DEC_21.014,2929.9949133464293,2040.0046766158,79.87981110849717,21.009925146637688,9.0,11.0,NO,14,125.41175823746444,105.40096625202987,113.24,1.71,105.40096625202987,113.24,1.71,47.99631797630349,63.67,2.53,3.5,2,113,SI (Rank 2),II/389/ps1_dr2,1.332107988462959e+17,79.88459121,21.01265498,9.793,105.4,113.24,1.71,3.5
RA_79.884__DEC_21.014,2929.9949133464293,2040.0046766158,79.87981110849717,21.009925146637688,9.0,11.0,NO,14,125.41175823746444,105.40096625202987,113.24,1.71,105.40096625202987,113.24,1.71,47.99631797630349,63.67,2.53,3.5,2,113,SI (Rank 3),II/389/ps1_dr2,1.3321079885047576e+17,79.88509068,21.01250865,10.4935,105.4,113.24,1.71,3.5
RA_79.906DEC21.587,3009.826821564837,1736.0182848769016,79.90381902966372,21.583554212310545,18.0,17.0,NO,48,189.70786745728688,153.1914910647384,148.41,2.80,153.1914910647384,149.32,2.95,115.8601066003288,112.94,3.18,3.5,2,113,SI (Rank 1),II/389/ps1_dr2,1.339007990663523e+17,79.90661686,21.5845955,10.487,160.6,152.97,2.91,3.79
RA_79.906DEC21.587,3009.826821564837,1736.0182848769016,79.90381902966372,21.583554212310545,18.0,17.0,NO,48,189.70786745728688,153.1914910647384,148.41,2.80,153.1914910647384,149.32,2.95,115.8601066003288,112.94,3.18,3.5,2,113,SI (Rank 2),II/389/ps1_dr2,1.3390079906424189e+17,79.90653608,21.58455248,11.704,160.6,152.97,2.91,3.79
RA_79.906DEC21.587,3009.826821564837,1736.0182848769016,79.90381902966372,21.583554212310545,18.0,17.0,NO,48,189.70786745728688,153.1914910647384,148.41,2.80,153.1914910647384,149.32,2.95,115.8601066003288,112.94,3.18,3.5,2,113,SI (Rank 3),II/389/ps1_dr2,1.3390079907025203e+17,79.90693672,21.58459732,12.816,160.6,152.97,2.91,3.79
RA_80.020DEC21.153,2884.040764466941,1946.377084708112,80.01904815511193,21.149118841760973,21.0,15.0,NO,43,243.02884747270937,198.8438155643693,190.32,2.57,201.7123740274076,192.93,2.64,163.7735729194399,157.51,2.83,3.796943761673792,2,113,SI (Rank 1),II/389/ps1_dr2,1.3338080022393216e+17,80.02253296,21.15154469,8.558,209.36,198.84,2.40,4.2
RA_80.020DEC21.153,2884.040764466941,1946.377084708112,80.01904815511193,21.149118841760973,21.0,15.0,NO,43,243.02884747270937,198.8438155643693,190.32,2.57,201.7123740274076,192.93,2.64,163.7735729194399,157.51,2.83,3.796943761673792,2,113,SI (Rank 2),II/389/ps1_dr2,1.3338080022716222e+17,80.02255659,21.15158773,9.305,209.36,198.84,2.40,4.2
RA_80.150DEC21.552,2884.987770245896,1717.4941529510832,80.14843454306546,21.549527370112926,6.0,10.0,NO,78,104.85139796913036,90.63993600757084,86.35,1.26,90.63993600757084,86.35,1.26,26.888097297269464,26.29,1.49,3.5,2,113,SI (Rank 1),II/389/ps1_dr2,1.338608014951502e+17,80.14977951,21.5498968,11.7693,90.64,86.35,1.26,3.5
RA_80.150DEC21.552,2884.987770245896,1717.4941529510832,80.14843454306546,21.549527370112926,6.0,10.0,NO,78,104.85139796913036,90.63993600757084,86.35,1.26,90.63993600757084,86.35,1.26,26.888097297269464,26.29,1.49,3.5,2,113,SI (Rank 2),II/389/ps1_dr2,1.3386080150082093e+17,80.14998839,21.55006801,12.515,90.64,86.35,1.26,3.5
