# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:14:23.740
# DATE-END: 2025-01-20T23:14:24.799
# TSTART: 1737414863740.17
# TSTOP: 1737414864740.17
# DATE: 2025-01-20T23:14:27
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6299680049431
# DEC: 21.5174041437208
# EQUINOX: 2000.0
# CRVAL1: 83.6299680049431
# CRVAL2: 21.5174041437208
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00122015962314529
# CD1_2: -0.0013598909437237
# CD2_1: 0.00135879549948532
# CD2_2: -0.00122074687714312
# A_ORDER: 2
# A_0_2: -3.33756211307327e-07
# A_1_1: -4.48683300536969e-08
# A_2_0: -2.17562353894828e-07
# B_ORDER: 2
# B_0_2: -2.48800794139216e-08
# B_1_1: -4.91092446581039e-07
# B_2_0: 6.92133402932933e-09
# AP_ORDER: 2
# AP_0_0: 3.69833276640345e-06
# AP_0_1: 5.95379996600503e-08
# AP_0_2: 3.33750579243631e-07
# AP_1_0: 3.15793551112826e-07
# AP_1_1: 4.48602872834035e-08
# AP_2_0: 2.17559239906553e-07
# BP_ORDER: 2
# BP_0_0: 3.10798753073345e-06
# BP_0_1: 3.97065990164241e-07
# BP_0_2: 2.48758085610726e-08
# BP_1_0: 1.02712067296794e-08
# BP_1_1: 4.91084936468353e-07
# BP_2_0: -6.92377432354508e-09
# NOME_FILE_FITS: 20250120_231423.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_011.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.631DEC22.171,2829.263841673021,1904.934149682252,80.63226241954482,22.17180650196165,20.0,18.0,NO,39,202.87185727463364,173.4729501646785,170.06,1.80,174.14836337247522,170.66,1.86,154.49848925734608,142.97,1.96,3.53991926588243,3,11,SI (Rank 1),II/389/ps1_dr2,1.3460080633080562e+17,80.63320209,22.17082104,9.338,176.53,172.72,1.78,3.68
RA_80.631DEC22.171,2829.263841673021,1904.934149682252,80.63226241954482,22.17180650196165,20.0,18.0,NO,39,202.87185727463364,173.4729501646785,170.06,1.80,174.14836337247522,170.66,1.86,154.49848925734608,142.97,1.96,3.53991926588243,3,11,SI (Rank 2),II/389/ps1_dr2,1.3460080632849502e+17,80.63271842,22.17042241,9.3438,176.53,172.72,1.78,3.68
RA_80.631DEC22.171,2829.263841673021,1904.934149682252,80.63226241954482,22.17180650196165,20.0,18.0,NO,39,202.87185727463364,173.4729501646785,170.06,1.80,174.14836337247522,170.66,1.86,154.49848925734608,142.97,1.96,3.53991926588243,3,11,SI (Rank 3),II/389/ps1_dr2,1.3460080633271594e+17,80.63341688,22.17124147,9.4743,176.53,172.72,1.78,3.68
RA_80.631DEC22.171,2829.263841673021,1904.934149682252,80.63226241954482,22.17180650196165,20.0,18.0,NO,39,202.87185727463364,173.4729501646785,170.06,1.80,174.14836337247522,170.66,1.86,154.49848925734608,142.97,1.96,3.53991926588243,3,11,SI (Rank 4),II/389/ps1_dr2,1.3460080632562483e+17,80.6324625,22.1701378,11.7803,176.53,172.72,1.78,3.68
RA_80.631DEC22.171,2829.263841673021,1904.934149682252,80.63226241954482,22.17180650196165,20.0,18.0,NO,39,202.87185727463364,173.4729501646785,170.06,1.80,174.14836337247522,170.66,1.86,154.49848925734608,142.97,1.96,3.53991926588243,3,11,SI (Rank 5),II/389/ps1_dr2,1.346008063373054e+17,80.63383564,22.17090452,13.5644,176.53,172.72,1.78,3.68
RA_80.631DEC22.171,2829.263841673021,1904.934149682252,80.63226241954482,22.17180650196165,20.0,18.0,NO,39,202.87185727463364,173.4729501646785,170.06,1.80,174.14836337247522,170.66,1.86,154.49848925734608,142.97,1.96,3.53991926588243,3,11,SI (Rank 6),II/389/ps1_dr2,1.3460080631725389e+17,80.63157499,22.1692501,14.4074,176.53,172.72,1.78,3.68
RA_81.052DEC22.140,2670.681222311687,1760.616150849754,81.05243528281459,22.139737973741145,13.0,13.0,NO,116,145.2786815584362,131.1821270217232,128.79,1.17,131.1821270217232,128.79,1.17,81.34907372237726,89.46,1.27,3.5,3,11,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,131.18,128.79,1.17,3.5
RA_81.052DEC22.140,2670.681222311687,1760.616150849754,81.05243528281459,22.139737973741145,13.0,13.0,NO,116,145.2786815584362,131.1821270217232,128.79,1.17,131.1821270217232,128.79,1.17,81.34907372237726,89.46,1.27,3.5,3,11,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,131.18,128.79,1.17,3.5
RA_81.052DEC22.140,2670.681222311687,1760.616150849754,81.05243528281459,22.139737973741145,13.0,13.0,NO,116,145.2786815584362,131.1821270217232,128.79,1.17,131.1821270217232,128.79,1.17,81.34907372237726,89.46,1.27,3.5,3,11,SI (Rank 3),II/389/ps1_dr2,1.345608105354958e+17,81.05371687,22.13772833,10.8885,131.18,128.79,1.17,3.5
RA_81.052DEC22.140,2670.681222311687,1760.616150849754,81.05243528281459,22.139737973741145,13.0,13.0,NO,116,145.2786815584362,131.1821270217232,128.79,1.17,131.1821270217232,128.79,1.17,81.34907372237726,89.46,1.27,3.5,3,11,SI (Rank 4),II/389/ps1_dr2,1.3456081050946931e+17,81.05098938,22.14065499,14.7669,131.18,128.79,1.17,3.5
RA_81.079DEC22.306,2728.270273379811,1688.3626705645447,81.07961915842394,22.306451951364327,28.0,28.0,NO,119,307.32234183020864,259.4792065048151,256.46,1.67,262.5122352824856,257.63,1.74,237.05533937773765,236.27,1.63,3.831146254676932,3,11,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,267.64,263.07,1.53,3.99
RA_81.079DEC22.306,2728.270273379811,1688.3626705645447,81.07961915842394,22.306451951364327,28.0,28.0,NO,119,307.32234183020864,259.4792065048151,256.46,1.67,262.5122352824856,257.63,1.74,237.05533937773765,236.27,1.63,3.831146254676932,3,11,SI (Rank 2),II/389/ps1_dr2,1.3476081080494627e+17,81.08058303,22.30488174,14.746,267.64,263.07,1.53,3.99
RA_81.170DEC21.511,2377.2397842194823,1950.5294729450327,81.17061327914983,21.51144880250996,14.0,17.0,NO,41,143.90726541088645,129.35081204900962,110.85,1.39,129.35081204900962,110.85,1.39,93.2038156610605,76.30,1.68,3.5,3,11,SI (Rank 1),II/389/ps1_dr2,1.3381081170140307e+17,81.1704384,21.51020936,9.538,129.35,110.85,1.39,3.5
RA_81.211DEC22.973,2951.1212947523063,1391.06591460432,81.21111763820726,22.973306435530017,12.0,17.0,NO,119,134.98265098134516,125.33789411415664,137.09,1.14,125.33789411415664,137.17,1.15,92.285988729341,104.12,1.26,3.5,3,11,SI (Rank 1),I/239/hip_main,25312.0,81.2111315854,22.9720685033,9.44,125.34,137.09,1.13,3.5
RA_81.211DEC22.973,2951.1212947523063,1391.06591460432,81.21111763820726,22.973306435530017,12.0,17.0,NO,119,134.98265098134516,125.33789411415664,137.09,1.14,125.33789411415664,137.17,1.15,92.285988729341,104.12,1.26,3.5,3,11,SI (Rank 2),II/389/ps1_dr2,1.3556081211485709e+17,81.21149592,22.97210599,9.6822,125.34,137.09,1.13,3.5
RA_81.211DEC22.973,2951.1212947523063,1391.06591460432,81.21111763820726,22.973306435530017,12.0,17.0,NO,119,134.98265098134516,125.33789411415664,137.09,1.14,125.33789411415664,137.17,1.15,92.285988729341,104.12,1.26,3.5,3,11,SI (Rank 3),II/389/ps1_dr2,1.3556081211057662e+17,81.21100762,22.97186638,11.2548,125.34,137.09,1.13,3.5
RA_81.226DEC22.100,2594.564545763163,1710.653484996671,81.22627973992884,22.09999641698766,27.0,19.0,NO,119,304.7525587359629,238.36224761267468,240.80,1.95,238.36224761267468,243.59,2.06,185.2688586000497,200.76,1.62,3.9173810059961416,3,11,SI (Rank 1),II/389/ps1_dr2,1.3451081224623896e+17,81.22474602,22.09873162,10.418,250.87,256.57,1.51,4.3
RA_81.226DEC22.100,2594.564545763163,1710.653484996671,81.22627973992884,22.09999641698766,27.0,19.0,NO,119,304.7525587359629,238.36224761267468,240.80,1.95,238.36224761267468,243.59,2.06,185.2688586000497,200.76,1.62,3.9173810059961416,3,11,SI (Rank 2),II/389/ps1_dr2,1.3451081224997904e+17,81.22481575,22.09893491,11.1967,250.87,256.57,1.51,4.3
RA_81.226DEC22.100,2594.564545763163,1710.653484996671,81.22627973992884,22.09999641698766,27.0,19.0,NO,119,304.7525587359629,238.36224761267468,240.80,1.95,238.36224761267468,243.59,2.06,185.2688586000497,200.76,1.62,3.9173810059961416,3,11,SI (Rank 3),II/389/ps1_dr2,1.3452081227914675e+17,81.22793313535,22.10515689825,13.307,250.87,256.57,1.51,4.3
RA_81.332DEC22.106,2560.506398059353,1668.4652226181013,81.33269882700542,22.106748143542777,4.0,11.0,NO,48,72.6135173783677,73.54383816596814,71.51,1.00,73.54383816596814,71.51,1.00,13.01371127125526,17.55,1.13,3.5,3,11,SI (Rank 1),II/389/ps1_dr2,1.345208133252078e+17,81.33241111,22.10605916,10.63,73.54,71.51,1.00,3.5
RA_81.359DEC21.861,2452.529159510721,1749.5039611763282,81.35976612665233,21.861653510996607,4.0,10.0,NO,53,73.39178238788524,72.22821206348276,71.30,1.06,72.22821206348276,71.30,1.06,13.19009950352887,19.62,1.28,3.5,3,11,SI (Rank 1),II/389/ps1_dr2,1.3423081358265357e+17,81.35813097,21.86086548,10.937,72.23,71.30,1.06,3.5
