# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:26:34.828
# DATE-END: 2025-01-20T23:26:35.887
# TSTART: 1737415594827.55
# TSTOP: 1737415595827.55
# DATE: 2025-01-20T23:26:37
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6298157813051
# DEC: 21.5196159532207
# EQUINOX: 2000.0
# CRVAL1: 83.6298157813051
# CRVAL2: 21.5196159532207
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00103158567354444
# CD1_2: -0.00150733952522056
# CD2_1: 0.00150661466147018
# CD2_2: -0.00103184104520366
# A_ORDER: 2
# A_0_2: -4.08910617736727e-07
# A_1_1: 3.61753431381122e-07
# A_2_0: -1.21276007867952e-07
# B_ORDER: 2
# B_0_2: 5.9173156439171e-07
# B_1_1: -3.13101719855263e-08
# B_2_0: 1.77804322699657e-07
# AP_ORDER: 2
# AP_0_0: 6.83743284228081e-07
# AP_0_1: -6.58378598301555e-07
# AP_0_2: 4.08914406873262e-07
# AP_1_0: 3.13027358547387e-07
# AP_1_1: -3.6175127667771e-07
# AP_2_0: 1.2127410500666e-07
# BP_ORDER: 2
# BP_0_0: 1.68463330991742e-06
# BP_0_1: 7.58234993275302e-07
# BP_0_2: -5.91739480631151e-07
# BP_1_0: -1.50918179963867e-07
# BP_1_1: 3.1304241200342e-08
# BP_2_0: -1.77804277241834e-07
# NOME_FILE_FITS: 20250120_232634.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_047.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_81.052DEC22.140,2563.344737526268,1903.299866553001,81.05129668311335,22.13973207013044,13.0,15.0,NO,116,135.74868770199987,131.70676601419018,128.79,1.17,131.70676601419018,128.79,1.17,88.35753093703666,89.46,1.27,3.5,3,47,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,131.71,128.79,1.17,3.5
RA_81.052DEC22.140,2563.344737526268,1903.299866553001,81.05129668311335,22.13973207013044,13.0,15.0,NO,116,135.74868770199987,131.70676601419018,128.79,1.17,131.70676601419018,128.79,1.17,88.35753093703666,89.46,1.27,3.5,3,47,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,131.71,128.79,1.17,3.5
RA_81.052DEC22.140,2563.344737526268,1903.299866553001,81.05129668311335,22.13973207013044,13.0,15.0,NO,116,135.74868770199987,131.70676601419018,128.79,1.17,131.70676601419018,128.79,1.17,88.35753093703666,89.46,1.27,3.5,3,47,SI (Rank 3),II/389/ps1_dr2,1.345608105354958e+17,81.05371687,22.13772833,10.8885,131.71,128.79,1.17,3.5
RA_81.052DEC22.140,2563.344737526268,1903.299866553001,81.05129668311335,22.13973207013044,13.0,15.0,NO,116,135.74868770199987,131.70676601419018,128.79,1.17,131.70676601419018,128.79,1.17,88.35753093703666,89.46,1.27,3.5,3,47,SI (Rank 4),II/389/ps1_dr2,1.3456081050946931e+17,81.05098938,22.14065499,14.7669,131.71,128.79,1.17,3.5
RA_81.079DEC22.306,2629.6282852362724,1839.3470403647696,81.07860578785346,22.30594299077992,27.0,36.0,NO,119,282.3723991398225,266.259343639714,256.46,1.67,266.5023764592954,257.63,1.74,244.23112197015053,236.27,1.63,3.6667372745723794,3,47,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,272.71,263.07,1.53,3.99
RA_81.079DEC22.306,2629.6282852362724,1839.3470403647696,81.07860578785346,22.30594299077992,27.0,36.0,NO,119,282.3723991398225,266.259343639714,256.46,1.67,266.5023764592954,257.63,1.74,244.23112197015053,236.27,1.63,3.6667372745723794,3,47,SI (Rank 2),II/389/ps1_dr2,1.3476081080494627e+17,81.08058303,22.30488174,14.746,272.71,263.07,1.53,3.99
RA_81.211DEC22.973,2889.591612288624,1573.640239003716,81.21038465780698,22.97322249123637,13.0,19.0,NO,119,142.49750510651884,132.93492578746927,137.09,1.14,132.93492578746927,137.17,1.15,90.84655636327882,104.12,1.26,3.5,3,47,SI (Rank 1),I/239/hip_main,25312.0,81.2111315854,22.9720685033,9.44,132.93,137.09,1.13,3.5
RA_81.211DEC22.973,2889.591612288624,1573.640239003716,81.21038465780698,22.97322249123637,13.0,19.0,NO,119,142.49750510651884,132.93492578746927,137.09,1.14,132.93492578746927,137.17,1.15,90.84655636327882,104.12,1.26,3.5,3,47,SI (Rank 2),II/389/ps1_dr2,1.3556081211485709e+17,81.21149592,22.97210599,9.6822,132.93,137.09,1.13,3.5
RA_81.211DEC22.973,2889.591612288624,1573.640239003716,81.21038465780698,22.97322249123637,13.0,19.0,NO,119,142.49750510651884,132.93492578746927,137.09,1.14,132.93492578746927,137.17,1.15,90.84655636327882,104.12,1.26,3.5,3,47,SI (Rank 3),II/389/ps1_dr2,1.3556081211057662e+17,81.21100762,22.97186638,11.2548,132.93,137.09,1.13,3.5
RA_81.226DEC22.100,2494.0793654743948,1843.644877822592,81.2260233676167,22.099722634933386,25.0,27.0,NO,119,286.7885050001579,221.6157461939075,240.80,1.95,222.2467269487261,243.59,2.06,186.465380830928,200.76,1.62,3.6345579057835113,3,47,SI (Rank 1),II/389/ps1_dr2,1.3451081224623896e+17,81.22474602,22.09873162,10.418,246.06,256.57,1.51,4.3
