# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:32:20.408
# DATE-END: 2025-01-20T23:32:21.468
# TSTART: 1737415940408.29
# TSTOP: 1737415941408.29
# DATE: 2025-01-20T23:32:23
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.631005750038
# DEC: 21.518968538827
# EQUINOX: 2000.0
# CRVAL1: 83.631005750038
# CRVAL2: 21.518968538827
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000962731372925646
# CD1_2: -0.00155287651276848
# CD2_1: 0.00155137749305147
# CD2_2: -0.00096212241832467
# A_ORDER: 2
# A_0_2: -3.82722107063916e-07
# A_1_1: 1.14299657072326e-07
# A_2_0: 3.45015970817528e-08
# B_ORDER: 2
# B_0_2: 6.20026935408381e-07
# B_1_1: 3.34679539185679e-07
# B_2_0: 8.87364066529944e-08
# AP_ORDER: 2
# AP_0_0: -3.61662394992024e-06
# AP_0_1: -3.56304643611372e-07
# AP_0_2: 3.82737765654223e-07
# AP_1_0: -5.41771385047141e-08
# AP_1_1: -1.14295765743767e-07
# AP_2_0: -3.45017908283159e-08
# BP_ORDER: 2
# BP_0_0: 8.14684244360523e-06
# BP_0_1: 6.32627099225606e-07
# BP_0_2: -6.20049536112936e-07
# BP_1_0: 2.70713729580978e-07
# BP_1_1: -3.34695144211818e-07
# BP_2_0: -8.87398165812299e-08
# NOME_FILE_FITS: 20250120_233220.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_064.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.490__DEC_22.954,3053.0563291768767,1944.8498599477944,80.48937732634211,22.95483686698727,29.0,24.0,NO,1,292.8712353427089,268.46025891431646,268.46,NaN,274.6354263360449,274.64,NaN,255.16352571125225,255.16,NaN,4.421560250948742,3,64,NO,,INT_387,,,,274.64,274.64,NaN,4.42
RA_81.052__DEC_22.141,2522.846039614786,1949.002644751908,81.05066960082362,22.13934874954419,10.0,13.0,NO,232,130.14095443277492,124.36229737136026,128.79,1.17,124.36229737136026,128.79,1.17,78.19056495321983,89.46,1.27,3.5,3,64,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,124.36,128.79,1.17,3.5
RA_81.052__DEC_22.141,2522.846039614786,1949.002644751908,81.05066960082362,22.13934874954419,10.0,13.0,NO,202,130.14095443277492,124.36229737136026,128.93,1.20,124.36229737136026,128.93,1.20,78.19056495321983,89.56,1.30,3.5,3,64,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,124.36,128.93,1.20,3.5
RA_81.052__DEC_22.141,2522.846039614786,1949.002644751908,81.05066960082362,22.13934874954419,10.0,13.0,NO,174,130.14095443277492,124.36229737136026,129.49,1.30,124.36229737136026,129.49,1.30,78.19056495321983,89.93,1.42,3.5,3,64,SI (Rank 3),II/389/ps1_dr2,1.345608105354958e+17,81.05371687,22.13772833,10.8885,124.36,129.49,1.30,3.5
RA_81.052__DEC_22.141,2522.846039614786,1949.002644751908,81.05066960082362,22.13934874954419,10.0,13.0,NO,232,130.14095443277492,124.36229737136026,128.79,1.17,124.36229737136026,128.79,1.17,78.19056495321983,89.46,1.27,3.5,3,64,SI (Rank 4),II/389/ps1_dr2,1.3456081050946931e+17,81.05098938,22.14065499,14.7669,124.36,128.79,1.17,3.5
RA_81.080__DEC_22.307,2592.1134475836907,1888.1856995197368,81.07769279326581,22.305725822507792,24.0,30.0,NO,235,271.69427851807893,244.56748805659268,256.46,1.67,246.51470261626105,257.63,1.74,229.7201296758172,236.27,1.63,3.579492244922964,3,64,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,256.1,263.07,1.53,3.99
RA_81.080__DEC_22.307,2592.1134475836907,1888.1856995197368,81.07769279326581,22.305725822507792,24.0,30.0,NO,230,271.69427851807893,244.56748805659268,256.46,1.67,246.51470261626105,257.63,1.74,229.7201296758172,236.27,1.63,3.579492244922964,3,64,SI (Rank 2),II/389/ps1_dr2,1.3476081080494627e+17,81.08058303,22.30488174,14.746,256.1,263.07,1.53,3.99
RA_81.211__DEC_22.974,2863.663889237451,1634.6229242619245,81.20950293988797,22.97272362016696,13.0,16.0,NO,217,130.90095857998807,124.07337872791402,137.09,1.14,124.07337872791402,137.17,1.15,92.928523145206,104.12,1.26,3.5,3,64,SI (Rank 1),I/239/hip_main,25312.0,81.2111315854,22.9720685033,9.44,124.07,137.09,1.13,3.5
RA_81.211__DEC_22.974,2863.663889237451,1634.6229242619245,81.20950293988797,22.97272362016696,13.0,16.0,NO,218,130.90095857998807,124.07337872791402,137.09,1.14,124.07337872791402,137.17,1.15,92.928523145206,104.12,1.26,3.5,3,64,SI (Rank 2),II/389/ps1_dr2,1.3556081211485709e+17,81.21149592,22.97210599,9.6822,124.07,137.09,1.13,3.5
RA_81.211__DEC_22.974,2863.663889237451,1634.6229242619245,81.20950293988797,22.97272362016696,13.0,16.0,NO,216,130.90095857998807,124.07337872791402,137.09,1.14,124.07337872791402,137.17,1.15,92.928523145206,104.12,1.26,3.5,3,64,SI (Rank 3),II/389/ps1_dr2,1.3556081211057662e+17,81.21100762,22.97186638,11.2548,124.07,137.09,1.13,3.5
RA_81.225__DEC_22.100,2456.338586984961,1886.6480228475189,81.22490741485177,22.098998201119823,29.0,25.0,NO,235,304.47872210521143,257.31305980360213,240.80,1.95,257.7679756624246,243.59,2.06,205.481722594062,200.76,1.62,4.065835746600966,3,64,SI (Rank 1),II/389/ps1_dr2,1.3451081224623896e+17,81.22474602,22.09873162,10.418,265.39,256.57,1.51,4.3
RA_81.225__DEC_22.100,2456.338586984961,1886.6480228475189,81.22490741485177,22.098998201119823,29.0,25.0,NO,235,304.47872210521143,257.31305980360213,240.80,1.95,257.7679756624246,243.59,2.06,205.481722594062,200.76,1.62,4.065835746600966,3,64,SI (Rank 2),II/389/ps1_dr2,1.3451081224997904e+17,81.22481575,22.09893491,11.1967,265.39,256.57,1.51,4.3
RA_81.332__DEC_22.107,2430.3366731169726,1838.6771016864875,81.33216189815101,22.10645207022819,3.0,10.0,NO,164,58.0079997996019,61.99333980431085,71.51,1.00,61.99333980431085,71.51,1.00,15.095943387430856,17.55,1.13,3.5,3,64,SI (Rank 1),II/389/ps1_dr2,1.345208133252078e+17,81.33241111,22.10605916,10.63,61.99,71.51,1.00,3.5
RA_81.371__DEC_21.779,2268.3157392332896,1918.04160434109,81.3725684287488,21.77935977678871,7.0,13.0,NO,236,88.76792948490167,88.60052274850261,96.78,0.92,88.60052274850261,96.78,0.92,44.86516978110136,55.09,1.14,3.5,3,64,SI (Rank 1),II/389/ps1_dr2,1.3413081372852477e+17,81.37263025,21.77846466,11.0135,88.6,96.78,0.92,3.5
RA_81.371__DEC_21.779,2268.3157392332896,1918.04160434109,81.3725684287488,21.77935977678871,7.0,13.0,NO,236,88.76792948490167,88.60052274850261,96.78,0.92,88.60052274850261,96.78,0.92,44.86516978110136,55.09,1.14,3.5,3,64,SI (Rank 2),II/389/ps1_dr2,1.3413081372513651e+17,81.37252042,21.77998244,12.616,88.6,96.78,0.92,3.5
RA_81.378__DEC_21.920,2331.4834806754257,1874.5004333733143,81.37772468953783,21.91931963642871,4.0,13.0,NO,235,74.00200362363546,75.78667934757652,96.13,0.93,75.78667934757652,96.13,0.93,15.4585163425597,57.52,1.13,3.5,3,64,SI (Rank 1),II/389/ps1_dr2,1.343008137844429e+17,81.37830278,21.91865699,9.739,75.79,96.13,0.93,3.5
RA_81.424__DEC_22.185,2441.506032439743,1776.495494494694,81.42355329951533,22.184931694265448,4.0,10.0,NO,214,72.58362104140535,72.78624288420586,76.93,0.89,72.78624288420586,76.93,0.89,13.653999579739336,25.99,1.24,3.5,3,64,SI (Rank 1),II/389/ps1_dr2,1.3462081423887206e+17,81.42378857,22.18443516,11.0859,72.79,76.93,0.89,3.5
RA_81.424__DEC_22.185,2441.506032439743,1776.495494494694,81.42355329951533,22.184931694265448,4.0,10.0,NO,214,72.58362104140535,72.78624288420586,76.93,0.89,72.78624288420586,76.93,0.89,13.653999579739336,25.99,1.24,3.5,3,64,SI (Rank 2),II/389/ps1_dr2,1.3462081423837144e+17,81.42377624,22.18421578,11.2238,72.79,76.93,0.89,3.5
RA_81.424__DEC_22.185,2441.506032439743,1776.495494494694,81.42355329951533,22.184931694265448,4.0,10.0,NO,214,72.58362104140535,72.78624288420586,76.93,0.89,72.78624288420586,76.93,0.89,13.653999579739336,25.99,1.24,3.5,3,64,SI (Rank 3),II/389/ps1_dr2,1.346208142419921e+17,81.42413128,22.18460991,11.6116,72.79,76.93,0.89,3.5
RA_81.424__DEC_22.185,2441.506032439743,1776.495494494694,81.42355329951533,22.184931694265448,4.0,10.0,NO,214,72.58362104140535,72.78624288420586,76.93,0.89,72.78624288420586,76.93,0.89,13.653999579739336,25.99,1.24,3.5,3,64,SI (Rank 4),II/389/ps1_dr2,1.3462081424257174e+17,81.42421117,22.18435489,13.5718,72.79,76.93,0.89,3.5
RA_81.473__DEC_21.786,2243.5624590513694,1872.4198481742649,81.47439129054875,21.78630501440721,31.0,44.0,NO,245,347.00496173472544,317.40469391135235,321.06,1.63,317.40469391135235,322.50,1.68,293.28568783489527,299.53,1.47,3.638559484278849,3,64,SI (Rank 1),I/239/hip_main,25390.0,81.4745285358,21.7859184637,8.72,327.09,329.98,1.38,3.98
RA_81.510__DEC_21.231,1977.0179029030703,2020.5018525260607,81.51117573113818,21.230784123693816,6.0,13.0,NO,156,67.50571835958482,69.09140175284197,68.52,0.88,69.09140175284197,68.52,0.88,34.87300725775248,20.32,1.29,3.5,3,64,SI (Rank 1),II/389/ps1_dr2,1.3347081510541744e+17,81.51062799,21.23055468,10.581,69.09,68.52,0.88,3.5
RA_81.510__DEC_21.231,1977.0179029030703,2020.5018525260607,81.51117573113818,21.230784123693816,6.0,13.0,NO,156,67.50571835958482,69.09140175284197,68.52,0.88,69.09140175284197,68.52,0.88,34.87300725775248,20.32,1.29,3.5,3,64,SI (Rank 2),II/389/ps1_dr2,1.33470815106847e+17,81.51035548,21.2303462,10.6064,69.09,68.52,0.88,3.5
RA_81.525__DEC_22.825,2709.670102165216,1544.966407359558,81.52370298231645,22.824871132510683,15.0,15.0,NO,217,139.69284240969617,136.49806808151737,146.38,1.93,137.68624318696834,150.14,1.98,103.9360115241184,109.37,1.91,4.372280875729574,3,64,SI (Rank 1),I/239/hip_main,25409.0,81.5224292518,22.8259946806,10.09,138.72,155.58,1.75,4.88
RA_81.525__DEC_22.825,2709.670102165216,1544.966407359558,81.52370298231645,22.824871132510683,15.0,15.0,NO,218,139.69284240969617,136.49806808151737,146.38,1.93,137.68624318696834,150.14,1.98,103.9360115241184,109.37,1.91,4.372280875729574,3,64,SI (Rank 2),II/389/ps1_dr2,1.3539081522296134e+17,81.52240653,22.825883,10.6391,138.72,155.58,1.75,4.88
RA_81.525__DEC_22.825,2709.670102165216,1544.966407359558,81.52370298231645,22.824871132510683,15.0,15.0,NO,196,139.69284240969617,136.49806808151737,145.98,1.94,137.68624318696834,149.75,1.99,103.9360115241184,109.10,1.94,4.372280875729574,3,64,SI (Rank 3),II/389/ps1_dr2,1.3539081521915133e+17,81.5220184,22.82569927,10.7566,138.72,155.25,1.77,4.88
RA_81.525__DEC_22.825,2709.670102165216,1544.966407359558,81.52370298231645,22.824871132510683,15.0,15.0,NO,223,139.69284240969617,136.49806808151737,146.17,1.93,137.68624318696834,149.92,1.98,103.9360115241184,109.22,1.92,4.372280875729574,3,64,SI (Rank 4),II/389/ps1_dr2,1.3539081523012242e+17,81.5227561,22.82646323,13.5041,138.72,155.39,1.76,4.88
RA_81.525__DEC_22.825,2709.670102165216,1544.966407359558,81.52370298231645,22.824871132510683,15.0,15.0,NO,189,139.69284240969617,136.49806808151737,145.01,1.96,137.68624318696834,148.89,2.02,103.9360115241184,108.48,1.99,4.372280875729574,3,64,SI (Rank 5),II/389/ps1_dr2,1.3539081522131176e+17,81.52209551,22.82606614,13.9418,138.7,154.41,1.79,4.87
RA_81.525__DEC_22.825,2709.670102165216,1544.966407359558,81.52370298231645,22.824871132510683,15.0,15.0,NO,233,139.69284240969617,136.49806808151737,146.38,1.93,137.68624318696834,150.14,1.98,103.9360115241184,109.37,1.91,4.372280875729574,3,64,SI (Rank 6),II/389/ps1_dr2,1.3539081522840189e+17,81.52298775,22.82574708,14.2132,138.72,155.58,1.75,4.88
