# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:32:40.579
# DATE-END: 2025-01-20T23:32:41.638
# TSTART: 1737415960578.73
# TSTOP: 1737415961578.73
# DATE: 2025-01-20T23:32:43
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6305040085175
# DEC: 21.5185296038885
# EQUINOX: 2000.0
# CRVAL1: 83.6305040085175
# CRVAL2: 21.5185296038885
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00095854576608307
# CD1_2: -0.00155465890737558
# CD2_1: 0.00155418507097355
# CD2_2: -0.000958668602690795
# A_ORDER: 2
# A_0_2: -1.35439527486569e-07
# A_1_1: 1.70408321515258e-07
# A_2_0: -2.29544812736086e-08
# B_ORDER: 2
# B_0_2: 2.6882305203747e-07
# B_1_1: 4.73553764623263e-08
# B_2_0: 5.39349773015802e-08
# AP_ORDER: 2
# AP_0_0: 4.40849279563042e-08
# AP_0_1: -7.88517081824871e-08
# AP_0_2: 1.35440242778675e-07
# AP_1_0: 4.04783217153462e-08
# AP_1_1: -1.70408608657661e-07
# AP_2_0: 2.2954245957936e-08
# BP_ORDER: 2
# BP_0_0: 7.62314524889914e-07
# BP_0_1: 1.31959798184235e-07
# BP_0_2: -2.68825430810054e-07
# BP_1_0: 1.18096492281622e-08
# BP_1_1: -4.735671135932e-08
# BP_2_0: -5.39352192778705e-08
# NOME_FILE_FITS: 20250120_233240.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_065.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.490__DEC_22.954,3050.5687122566164,1948.5194740830425,80.49151705011309,22.955508017611773,29.0,28.0,NO,72,295.23699560261093,269.1707703242731,252.76,3.67,271.86718803065787,257.91,4.11,248.7160484250924,230.15,3.82,4.183729953435354,3,65,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,283.76,268.93,3.30,4.9
RA_80.490__DEC_22.954,3050.5687122566164,1948.5194740830425,80.49151705011309,22.955508017611773,29.0,28.0,NO,78,295.23699560261093,269.1707703242731,253.07,3.19,271.86718803065787,257.82,3.55,248.7160484250924,230.45,3.39,4.183729953435354,3,65,SI (Rank 2),II/389/ps1_dr2,1.3554080493675554e+17,80.49352418,22.95416734,13.3754,283.41,268.63,2.84,4.88
RA_81.052__DEC_22.141,2520.403685606857,1951.381143057472,81.05216265268534,22.139736991209467,13.0,14.0,NO,232,128.60565047447736,125.24981318206576,128.79,1.17,125.24981318206576,128.79,1.17,89.32043290743013,89.46,1.27,3.5,3,65,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,125.25,128.79,1.17,3.5
RA_81.052__DEC_22.141,2520.403685606857,1951.381143057472,81.05216265268534,22.139736991209467,13.0,14.0,NO,202,128.60565047447736,125.24981318206576,128.93,1.20,125.24981318206576,128.93,1.20,89.32043290743013,89.56,1.30,3.5,3,65,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,125.25,128.93,1.20,3.5
RA_81.052__DEC_22.141,2520.403685606857,1951.381143057472,81.05216265268534,22.139736991209467,13.0,14.0,NO,174,128.60565047447736,125.24981318206576,129.49,1.30,125.24981318206576,129.49,1.30,89.32043290743013,89.93,1.42,3.5,3,65,SI (Rank 3),II/389/ps1_dr2,1.345608105354958e+17,81.05371687,22.13772833,10.8885,125.25,129.49,1.30,3.5
RA_81.052__DEC_22.141,2520.403685606857,1951.381143057472,81.05216265268534,22.139736991209467,13.0,14.0,NO,232,128.60565047447736,125.24981318206576,128.79,1.17,125.24981318206576,128.79,1.17,89.32043290743013,89.46,1.27,3.5,3,65,SI (Rank 4),II/389/ps1_dr2,1.3456081050946931e+17,81.05098938,22.14065499,14.7669,125.25,128.79,1.17,3.5
RA_81.080__DEC_22.307,2589.946796795562,1890.7217009281949,81.07904612965065,22.30628696524401,25.0,35.0,NO,235,263.87706816315574,245.486929126728,256.46,1.67,248.0212995052441,257.63,1.74,230.74224425144288,236.27,1.63,3.714850676737302,3,65,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,252.69,263.07,1.53,3.99
RA_81.080__DEC_22.307,2589.946796795562,1890.7217009281949,81.07904612965065,22.30628696524401,25.0,35.0,NO,230,263.87706816315574,245.486929126728,256.46,1.67,248.0212995052441,257.63,1.74,230.74224425144288,236.27,1.63,3.714850676737302,3,65,SI (Rank 2),II/389/ps1_dr2,1.3476081080494627e+17,81.08058303,22.30488174,14.746,252.69,263.07,1.53,3.99
RA_81.211__DEC_22.974,2862.2761703061115,1637.9254351422912,81.21039470085773,22.973295876150367,12.0,15.0,NO,217,130.88467915894748,127.47561201419596,137.09,1.14,127.47561201419596,137.17,1.15,95.68757080311936,104.12,1.26,3.5,3,65,SI (Rank 1),I/239/hip_main,25312.0,81.2111315854,22.9720685033,9.44,127.48,137.09,1.13,3.5
RA_81.211__DEC_22.974,2862.2761703061115,1637.9254351422912,81.21039470085773,22.973295876150367,12.0,15.0,NO,218,130.88467915894748,127.47561201419596,137.09,1.14,127.47561201419596,137.17,1.15,95.68757080311936,104.12,1.26,3.5,3,65,SI (Rank 2),II/389/ps1_dr2,1.3556081211485709e+17,81.21149592,22.97210599,9.6822,127.48,137.09,1.13,3.5
