# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:33:00.753
# DATE-END: 2025-01-20T23:33:01.819
# TSTART: 1737415980753.0
# TSTOP: 1737415981753.0
# DATE: 2025-01-20T23:33:04
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6303510379227
# DEC: 21.5191377949484
# EQUINOX: 2000.0
# CRVAL1: 83.6303510379227
# CRVAL2: 21.5191377949484
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000954658745842538
# CD1_2: -0.00155685418210393
# CD2_1: 0.00155631312054458
# CD2_2: -0.000955226118723139
# A_ORDER: 2
# A_0_2: -8.89738834128882e-08
# A_1_1: 8.27118480060212e-09
# A_2_0: -1.70534034552984e-07
# B_ORDER: 2
# B_0_2: 3.33409875453934e-07
# B_1_1: -4.17676183172227e-09
# B_2_0: -4.20407652737706e-09
# AP_ORDER: 2
# AP_0_0: 8.47472255246136e-07
# AP_0_1: -4.28183007869415e-08
# AP_0_2: 8.89744245250598e-08
# AP_1_0: 9.90921976401749e-08
# AP_1_1: -8.27144592406743e-09
# AP_2_0: 1.70532211720991e-07
# BP_ORDER: 2
# BP_0_0: 7.21171453236617e-07
# BP_0_1: 1.46156092523162e-07
# BP_0_2: -3.33413151670934e-07
# BP_1_0: 8.81093229488997e-10
# BP_1_1: 4.17683939353557e-09
# BP_2_0: 4.20404150625387e-09
# NOME_FILE_FITS: 20250120_233300.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_066.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.494__DEC_22.956,3048.269279139275,1952.2090648444268,80.4925098376836,22.954775540959027,24.0,28.0,NO,72,266.47221564880067,239.0316066162456,252.76,3.67,245.0836938477609,257.91,4.11,220.5375764971639,230.15,3.82,4.036282323754326,3,66,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,262.66,268.93,3.30,4.9
RA_80.494__DEC_22.956,3048.269279139275,1952.2090648444268,80.4925098376836,22.954775540959027,24.0,28.0,NO,59,266.47221564880067,239.0316066162456,247.02,4.47,245.0836938477609,252.50,4.95,220.5375764971639,226.13,4.71,4.036282323754326,3,66,SI (Rank 2),II/389/ps1_dr2,1.3554080494877482e+17,80.49473708,22.95344273,13.0488,260.49,261.51,3.67,4.73
RA_80.494__DEC_22.956,3048.269279139275,1952.2090648444268,80.4925098376836,22.954775540959027,24.0,28.0,NO,67,266.47221564880067,239.0316066162456,249.53,3.70,245.0836938477609,254.49,3.73,220.5375764971639,231.69,3.87,4.036282323754326,3,66,SI (Rank 3),II/389/ps1_dr2,1.3554080495605722e+17,80.4955215,22.95561822,13.1194,258.53,261.08,2.72,4.6
RA_80.494__DEC_22.956,3048.269279139275,1952.2090648444268,80.4925098376836,22.954775540959027,24.0,28.0,NO,78,266.47221564880067,239.0316066162456,253.07,3.19,245.0836938477609,257.82,3.55,220.5375764971639,230.45,3.39,4.036282323754326,3,66,SI (Rank 4),II/389/ps1_dr2,1.3554080493675554e+17,80.49352418,22.95416734,13.3754,262.41,268.63,2.84,4.88
RA_81.052__DEC_22.141,2518.348303199422,1954.0466546630817,81.05192335571965,22.13954864167332,11.0,16.0,NO,232,121.19139437575136,120.31352033972738,128.79,1.17,120.31352033972738,128.79,1.17,84.83569996123151,89.46,1.27,3.5,3,66,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,120.31,128.79,1.17,3.5
RA_81.052__DEC_22.141,2518.348303199422,1954.0466546630817,81.05192335571965,22.13954864167332,11.0,16.0,NO,202,121.19139437575136,120.31352033972738,128.93,1.20,120.31352033972738,128.93,1.20,84.83569996123151,89.56,1.30,3.5,3,66,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,120.31,128.93,1.20,3.5
RA_81.052__DEC_22.141,2518.348303199422,1954.0466546630817,81.05192335571965,22.13954864167332,11.0,16.0,NO,174,121.19139437575136,120.31352033972738,129.49,1.30,120.31352033972738,129.49,1.30,84.83569996123151,89.93,1.42,3.5,3,66,SI (Rank 3),II/389/ps1_dr2,1.345608105354958e+17,81.05371687,22.13772833,10.8885,120.31,129.49,1.30,3.5
RA_81.052__DEC_22.141,2518.348303199422,1954.0466546630817,81.05192335571965,22.13954864167332,11.0,16.0,NO,232,121.19139437575136,120.31352033972738,128.79,1.17,120.31352033972738,128.79,1.17,84.83569996123151,89.46,1.27,3.5,3,66,SI (Rank 4),II/389/ps1_dr2,1.3456081050946931e+17,81.05098938,22.14065499,14.7669,120.31,128.79,1.17,3.5
RA_81.080__DEC_22.307,2587.659605077341,1893.4068064154849,81.07950864987396,22.305644056568045,26.0,32.0,NO,235,269.3685233119358,245.8368191008557,256.46,1.67,246.89770957105813,257.63,1.74,221.94238794009627,236.27,1.63,3.675697815721511,3,66,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,254.21,263.07,1.53,3.99
RA_81.080__DEC_22.307,2587.659605077341,1893.4068064154849,81.07950864987396,22.305644056568045,26.0,32.0,NO,230,269.3685233119358,245.8368191008557,256.46,1.67,246.89770957105813,257.63,1.74,221.94238794009627,236.27,1.63,3.675697815721511,3,66,SI (Rank 2),II/389/ps1_dr2,1.3476081080494627e+17,81.08058303,22.30488174,14.746,254.21,263.07,1.53,3.99
RA_81.211__DEC_22.974,2860.36339762243,1641.0718732073683,81.21164345562023,22.972420184447248,11.0,17.0,NO,217,130.59569151260544,125.98835612521016,137.09,1.14,125.98835612521016,137.17,1.15,85.92420363691919,104.12,1.26,3.5,3,66,SI (Rank 1),I/239/hip_main,25312.0,81.2111315854,22.9720685033,9.44,125.99,137.09,1.13,3.5
RA_81.211__DEC_22.974,2860.36339762243,1641.0718732073683,81.21164345562023,22.972420184447248,11.0,17.0,NO,218,130.59569151260544,125.98835612521016,137.09,1.14,125.98835612521016,137.17,1.15,85.92420363691919,104.12,1.26,3.5,3,66,SI (Rank 2),II/389/ps1_dr2,1.3556081211485709e+17,81.21149592,22.97210599,9.6822,125.99,137.09,1.13,3.5
RA_81.211__DEC_22.974,2860.36339762243,1641.0718732073683,81.21164345562023,22.972420184447248,11.0,17.0,NO,216,130.59569151260544,125.98835612521016,137.09,1.14,125.98835612521016,137.17,1.15,85.92420363691919,104.12,1.26,3.5,3,66,SI (Rank 3),II/389/ps1_dr2,1.3556081211057662e+17,81.21100762,22.97186638,11.2548,125.99,137.09,1.13,3.5
RA_81.225__DEC_22.100,2452.077645939691,1891.127601777505,81.22640646835082,22.09927748570932,25.0,25.0,NO,235,286.0021981606497,226.987106926634,240.80,1.95,238.62398431426928,243.59,2.06,203.1929282602492,200.76,1.62,3.968993226759887,3,66,SI (Rank 1),II/389/ps1_dr2,1.3451081224623896e+17,81.22474602,22.09873162,10.418,247.51,256.57,1.51,4.3
RA_81.225__DEC_22.100,2452.077645939691,1891.127601777505,81.22640646835082,22.09927748570932,25.0,25.0,NO,235,286.0021981606497,226.987106926634,240.80,1.95,238.62398431426928,243.59,2.06,203.1929282602492,200.76,1.62,3.968993226759887,3,66,SI (Rank 2),II/389/ps1_dr2,1.3451081224997904e+17,81.22481575,22.09893491,11.1967,247.51,256.57,1.51,4.3
RA_81.332__DEC_22.107,2426.3217380736746,1843.320489411299,81.33304230111345,22.106429820358937,3.0,10.0,NO,164,54.72087503511446,57.50457913144419,71.51,1.00,57.50457913144419,71.51,1.00,14.862769431771264,17.55,1.13,3.5,3,66,SI (Rank 1),II/389/ps1_dr2,1.345208133252078e+17,81.33241111,22.10605916,10.63,57.5,71.51,1.00,3.5
