# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:41:48.544
# DATE-END: 2025-01-20T23:41:49.603
# TSTART: 1737416508543.98
# TSTOP: 1737416509543.98
# DATE: 2025-01-20T23:41:51
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6306586954751
# DEC: 21.518876600431
# EQUINOX: 2000.0
# CRVAL1: 83.6306586954751
# CRVAL2: 21.5188766004309
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00087048094182204
# CD1_2: -0.00160647209050269
# CD2_1: 0.00160494563311099
# CD2_2: -0.000870178020403187
# A_ORDER: 2
# A_0_2: -3.43054006888643e-07
# A_1_1: -3.80028744330602e-08
# A_2_0: -1.80360887274959e-07
# B_ORDER: 2
# B_0_2: 2.52738903562384e-07
# B_1_1: -3.53542508847356e-08
# B_2_0: 2.21074519278363e-08
# AP_ORDER: 2
# AP_0_0: 8.46939117149503e-07
# AP_0_1: -1.0074065540942e-07
# AP_0_2: 3.43055552243097e-07
# AP_1_0: 1.47338044282284e-07
# AP_1_1: 3.80010830099848e-08
# AP_2_0: 1.80358993092808e-07
# BP_ORDER: 2
# BP_0_0: 3.56286645493883e-07
# BP_0_1: 1.06942661326894e-07
# BP_0_2: -2.52741021340844e-07
# BP_1_0: -2.8045384289161e-08
# BP_1_1: 3.53544027406769e-08
# BP_2_0: -2.21073014829305e-08
# NOME_FILE_FITS: 20250120_234148.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_092.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.490__DEC_22.954,2996.5962278258976,2031.9645590377963,80.4911198887059,22.954316445645663,24.0,22.0,NO,72,272.7714798091314,240.28500948492456,252.76,3.67,245.89034863487245,257.91,4.11,212.6973666236427,230.15,3.82,4.14048266782127,3,92,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,261.06,268.93,3.30,4.9
RA_80.490__DEC_22.954,2996.5962278258976,2031.9645590377963,80.4911198887059,22.954316445645663,24.0,22.0,NO,78,272.7714798091314,240.28500948492456,253.07,3.19,245.89034863487245,257.82,3.55,212.6973666236427,230.45,3.39,4.14048266782127,3,92,SI (Rank 2),II/389/ps1_dr2,1.3554080493675554e+17,80.49352418,22.95416734,13.3754,260.83,268.63,2.84,4.88
RA_81.052__DEC_22.141,2467.294898510497,2005.062750454896,81.05156214415211,22.13961300355057,11.0,15.0,NO,232,128.47686042490375,120.36681702951708,128.79,1.17,120.36681702951708,128.79,1.17,83.9929423229983,89.46,1.27,3.5,3,92,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,120.37,128.79,1.17,3.5
RA_81.052__DEC_22.141,2467.294898510497,2005.062750454896,81.05156214415211,22.13961300355057,11.0,15.0,NO,202,128.47686042490375,120.36681702951708,128.93,1.20,120.36681702951708,128.93,1.20,83.9929423229983,89.56,1.30,3.5,3,92,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,120.37,128.93,1.20,3.5
RA_81.052__DEC_22.141,2467.294898510497,2005.062750454896,81.05156214415211,22.13961300355057,11.0,15.0,NO,174,128.47686042490375,120.36681702951708,129.49,1.30,120.36681702951708,129.49,1.30,83.9929423229983,89.93,1.42,3.5,3,92,SI (Rank 3),II/389/ps1_dr2,1.345608105354958e+17,81.05371687,22.13772833,10.8885,120.37,129.49,1.30,3.5
RA_81.052__DEC_22.141,2467.294898510497,2005.062750454896,81.05156214415211,22.13961300355057,11.0,15.0,NO,232,128.47686042490375,120.36681702951708,128.79,1.17,120.36681702951708,128.79,1.17,83.9929423229983,89.46,1.27,3.5,3,92,SI (Rank 4),II/389/ps1_dr2,1.3456081050946931e+17,81.05098938,22.14065499,14.7669,120.37,128.79,1.17,3.5
RA_81.080__DEC_22.307,2539.996970669833,1948.3827238284543,81.07859129477565,22.305935616358056,25.0,36.0,NO,235,268.5413619716557,254.20383865091452,256.46,1.67,254.4332084472445,257.63,1.74,233.2601329805308,236.27,1.63,3.6198954212717753,3,92,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,259.76,263.07,1.53,3.99
RA_81.080__DEC_22.307,2539.996970669833,1948.3827238284543,81.07859129477565,22.305935616358056,25.0,36.0,NO,230,268.5413619716557,254.20383865091452,256.46,1.67,254.4332084472445,257.63,1.74,233.2601329805308,236.27,1.63,3.6198954212717753,3,92,SI (Rank 2),II/389/ps1_dr2,1.3476081080494627e+17,81.08058303,22.30488174,14.746,259.76,263.07,1.53,3.99
RA_81.211__DEC_22.974,2825.7784146989497,1711.5873670867866,81.20961713680175,22.972057182577792,14.0,15.0,NO,217,135.07855031206472,130.89964426798636,137.09,1.14,130.89964426798636,137.17,1.15,104.96574709000086,104.12,1.26,3.5,3,92,SI (Rank 1),I/239/hip_main,25312.0,81.2111315854,22.9720685033,9.44,130.9,137.09,1.13,3.5
RA_81.211__DEC_22.974,2825.7784146989497,1711.5873670867866,81.20961713680175,22.972057182577792,14.0,15.0,NO,218,135.07855031206472,130.89964426798636,137.09,1.14,130.89964426798636,137.17,1.15,104.96574709000086,104.12,1.26,3.5,3,92,SI (Rank 2),II/389/ps1_dr2,1.3556081211485709e+17,81.21149592,22.97210599,9.6822,130.9,137.09,1.13,3.5
