# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:42:09.014
# DATE-END: 2025-01-20T23:42:10.083
# TSTART: 1737416529013.75
# TSTOP: 1737416530013.76
# DATE: 2025-01-20T23:42:12
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6300228174817
# DEC: 21.5193806988889
# EQUINOX: 2000.0
# CRVAL1: 83.6300228174817
# CRVAL2: 21.5193806988889
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000867481136752122
# CD1_2: -0.00160807419026269
# CD2_1: 0.00160657376802686
# CD2_2: -0.000867095938464665
# A_ORDER: 2
# A_0_2: -4.12208655640469e-07
# A_1_1: -1.67865020881663e-07
# A_2_0: -2.40601459993194e-07
# B_ORDER: 2
# B_0_2: 3.27935340891194e-07
# B_1_1: 2.26486101049459e-08
# B_2_0: -1.08337617753395e-08
# AP_ORDER: 2
# AP_0_0: 1.91452502606992e-06
# AP_0_1: -2.85850067696096e-08
# AP_0_2: 4.12210653045212e-07
# AP_1_0: 2.31989943195652e-07
# AP_1_1: 1.67861181559656e-07
# AP_2_0: 2.40597704975323e-07
# BP_ORDER: 2
# BP_0_0: 8.49670436527579e-07
# BP_0_1: 1.29550636827749e-07
# BP_0_2: -3.27938941117169e-07
# BP_1_0: 1.75393964528411e-08
# BP_1_1: -2.26487751828809e-08
# BP_2_0: 1.08336792734113e-08
# NOME_FILE_FITS: 20250120_234208.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_093.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.490__DEC_22.954,2994.1382742010205,2034.3234953916235,80.49189963414311,22.95363714773024,22.0,25.0,NO,72,241.9791411884173,218.79853689507684,252.76,3.67,226.1707226632704,257.91,4.11,203.9235010233777,230.15,3.82,4.100148663000442,3,93,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,240.21,268.93,3.30,4.9
RA_80.490__DEC_22.954,2994.1382742010205,2034.3234953916235,80.49189963414311,22.95363714773024,22.0,25.0,NO,59,241.9791411884173,218.79853689507684,247.02,4.47,226.1707226632704,252.50,4.95,203.9235010233777,226.13,4.71,4.100148663000442,3,93,SI (Rank 2),II/389/ps1_dr2,1.3554080494877482e+17,80.49473708,22.95344273,13.0488,238.22,261.51,3.67,4.73
RA_80.490__DEC_22.954,2994.1382742010205,2034.3234953916235,80.49189963414311,22.95363714773024,22.0,25.0,NO,78,241.9791411884173,218.79853689507684,253.07,3.19,226.1707226632704,257.82,3.55,203.9235010233777,230.45,3.39,4.100148663000442,3,93,SI (Rank 3),II/389/ps1_dr2,1.3554080493675554e+17,80.49352418,22.95416734,13.3754,240.02,268.63,2.84,4.88
RA_81.052__DEC_22.141,2465.1559973087733,2006.8044551606863,81.05128346609233,22.1392549965225,11.0,12.0,NO,232,130.47748486492898,122.26653857141676,128.79,1.17,122.26653857141676,128.79,1.17,79.86549698999764,89.46,1.27,3.5,3,93,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,122.27,128.79,1.17,3.5
RA_81.052__DEC_22.141,2465.1559973087733,2006.8044551606863,81.05128346609233,22.1392549965225,11.0,12.0,NO,202,130.47748486492898,122.26653857141676,128.93,1.20,122.26653857141676,128.93,1.20,79.86549698999764,89.56,1.30,3.5,3,93,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,122.27,128.93,1.20,3.5
RA_81.052__DEC_22.141,2465.1559973087733,2006.8044551606863,81.05128346609233,22.1392549965225,11.0,12.0,NO,174,130.47748486492898,122.26653857141676,129.49,1.30,122.26653857141676,129.49,1.30,79.86549698999764,89.93,1.42,3.5,3,93,SI (Rank 3),II/389/ps1_dr2,1.345608105354958e+17,81.05371687,22.13772833,10.8885,122.27,129.49,1.30,3.5
RA_81.052__DEC_22.141,2465.1559973087733,2006.8044551606863,81.05128346609233,22.1392549965225,11.0,12.0,NO,232,130.47748486492898,122.26653857141676,128.79,1.17,122.26653857141676,128.79,1.17,79.86549698999764,89.46,1.27,3.5,3,93,SI (Rank 4),II/389/ps1_dr2,1.3456081050946931e+17,81.05098938,22.14065499,14.7669,122.27,128.79,1.17,3.5
RA_81.080__DEC_22.307,2537.697355335876,1950.119286184522,81.0788342105683,22.305282080040648,24.0,31.0,NO,235,238.8987665369699,226.38659857415075,256.46,1.67,228.12816915815424,257.63,1.74,213.1728586051404,236.27,1.63,3.600994837175392,3,93,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,233.01,263.07,1.53,3.99
RA_81.080__DEC_22.307,2537.697355335876,1950.119286184522,81.0788342105683,22.305282080040648,24.0,31.0,NO,230,238.8987665369699,226.38659857415075,256.46,1.67,228.12816915815424,257.63,1.74,213.1728586051404,236.27,1.63,3.600994837175392,3,93,SI (Rank 2),II/389/ps1_dr2,1.3476081080494627e+17,81.08058303,22.30488174,14.746,233.01,263.07,1.53,3.99
RA_81.211__DEC_22.974,2824.1426034711603,1713.468217332747,81.2104161915596,22.972121102709504,15.0,15.0,NO,217,133.8641067476874,130.33683417575463,137.09,1.14,130.33683417575463,137.17,1.15,107.64899521497593,104.12,1.26,3.5,3,93,SI (Rank 1),I/239/hip_main,25312.0,81.2111315854,22.9720685033,9.44,130.34,137.09,1.13,3.5
