# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:46:52.556
# DATE-END: 2025-01-20T23:46:53.615
# TSTART: 1737416812556.42
# TSTOP: 1737416813556.42
# DATE: 2025-01-20T23:46:56
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6314858088167
# DEC: 21.5186825687684
# EQUINOX: 2000.0
# CRVAL1: 83.6314858088167
# CRVAL2: 21.5186825687684
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000830269335606231
# CD1_2: -0.00162761718491644
# CD2_1: 0.00162618756768186
# CD2_2: -0.000829967013680291
# A_ORDER: 2
# A_0_2: -4.85037184251106e-07
# A_1_1: 8.91043048014491e-08
# A_2_0: -1.13413393880158e-07
# B_ORDER: 2
# B_0_2: 1.87315169575409e-07
# B_1_1: -8.10520646778193e-08
# B_2_0: 1.1147584728778e-08
# AP_ORDER: 2
# AP_0_0: -1.90637516898443e-07
# AP_0_1: -1.88982755739181e-07
# AP_0_2: 4.85039959869712e-07
# AP_1_0: 1.18384894019734e-07
# AP_1_1: -8.91063858337983e-08
# AP_2_0: 1.13412974264171e-07
# BP_ORDER: 2
# BP_0_0: 3.56370305968727e-07
# BP_0_1: 9.06466997077743e-08
# BP_0_2: -1.87316885708217e-07
# BP_1_0: -2.85304726362712e-08
# BP_1_1: 8.10525472980154e-08
# BP_2_0: -1.1147634969817e-08
# NOME_FILE_FITS: 20250120_234652.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_107.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_81.043__DEC_23.110,2915.475626134345,1783.4815462424665,81.0408758765725,23.110541175317465,4.0,8.0,NO,23,83.10493554346762,79.75994378687999,77.91,1.47,79.75994378687999,77.91,1.47,11.590125684317414,17.83,1.79,3.5,3,107,SI (Rank 1),II/389/ps1_dr2,1.3573081043251136e+17,81.04307607,23.10879962,10.3589,79.76,77.91,1.47,3.5
RA_81.043__DEC_23.110,2915.475626134345,1783.4815462424665,81.0408758765725,23.110541175317465,4.0,8.0,NO,23,83.10493554346762,79.75994378687999,77.91,1.47,79.75994378687999,77.91,1.47,11.590125684317414,17.83,1.79,3.5,3,107,SI (Rank 2),II/389/ps1_dr2,1.3573081043535168e+17,81.0432864,23.10934006,10.8043,79.76,77.91,1.47,3.5
RA_81.052DEC22.140,2442.8364679115216,2028.4018510584528,81.05150720126039,22.13970335124335,17.0,13.0,NO,116,185.8004457335436,158.27461676957685,128.79,1.17,158.27461676957685,128.79,1.17,114.30827825048,89.46,1.27,3.5,3,107,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,158.27,128.79,1.17,3.5
RA_81.052DEC22.140,2442.8364679115216,2028.4018510584528,81.05150720126039,22.13970335124335,17.0,13.0,NO,116,185.8004457335436,158.27461676957685,128.79,1.17,158.27461676957685,128.79,1.17,114.30827825048,89.46,1.27,3.5,3,107,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,158.27,128.79,1.17,3.5
RA_81.052DEC22.140,2442.8364679115216,2028.4018510584528,81.05150720126039,22.13970335124335,17.0,13.0,NO,116,185.8004457335436,158.27461676957685,128.79,1.17,158.27461676957685,128.79,1.17,114.30827825048,89.46,1.27,3.5,3,107,SI (Rank 3),II/389/ps1_dr2,1.345608105354958e+17,81.05371687,22.13772833,10.8885,158.27,128.79,1.17,3.5
RA_81.052DEC22.140,2442.8364679115216,2028.4018510584528,81.05150720126039,22.13970335124335,17.0,13.0,NO,116,185.8004457335436,158.27461676957685,128.79,1.17,158.27461676957685,128.79,1.17,114.30827825048,89.46,1.27,3.5,3,107,SI (Rank 4),II/389/ps1_dr2,1.3456081050946931e+17,81.05098938,22.14065499,14.7669,158.27,128.79,1.17,3.5
RA_81.079DEC22.306,2516.80548751122,1973.479173291644,81.07873230150383,22.305935413620805,30.0,36.0,NO,119,329.35150669013615,279.97197248777405,256.46,1.67,282.4933567319364,257.63,1.74,266.7451451686825,236.27,1.63,3.923373300204982,3,107,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,284.4,263.07,1.53,3.99
RA_81.079DEC22.306,2516.80548751122,1973.479173291644,81.07873230150383,22.305935413620805,30.0,36.0,NO,119,329.35150669013615,279.97197248777405,256.46,1.67,282.4933567319364,257.63,1.74,266.7451451686825,236.27,1.63,3.923373300204982,3,107,SI (Rank 2),II/389/ps1_dr2,1.3476081080494627e+17,81.08058303,22.30488174,14.746,284.4,263.07,1.53,3.99
RA_81.211DEC22.973,2808.480140689805,1743.4642685644965,81.21024734932607,22.972707557639183,14.0,15.0,NO,119,151.57010927539758,131.86553414626064,137.09,1.14,131.86553414626064,137.17,1.15,99.43031712841568,104.12,1.26,3.5,3,107,SI (Rank 1),I/239/hip_main,25312.0,81.2111315854,22.9720685033,9.44,131.87,137.09,1.13,3.5
RA_81.211DEC22.973,2808.480140689805,1743.4642685644965,81.21024734932607,22.972707557639183,14.0,15.0,NO,119,151.57010927539758,131.86553414626064,137.09,1.14,131.86553414626064,137.17,1.15,99.43031712841568,104.12,1.26,3.5,3,107,SI (Rank 2),II/389/ps1_dr2,1.3556081211485709e+17,81.21149592,22.97210599,9.6822,131.87,137.09,1.13,3.5
