label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE
RA_157.09DEC64.34,40,74.99912000871828
RA_159.79DEC45.48,21,89.34244665340707
RA_159.85DEC48.81,25,164.9516277464616
RA_160.03DEC46.84,22,1010.7652419590045
RA_160.14DEC47.00,22,104.74256519715051
RA_160.16DEC46.22,21,78.2315132947309
RA_160.26DEC45.51,20,206.32580264469783
RA_160.26DEC48.99,22,145.39272232869166
RA_160.27DEC48.57,22,269.17784974851054
RA_160.32DEC48.65,20,77.0302223958416
RA_160.50DEC46.65,19,370.1930285564976
RA_160.54DEC45.85,11,76.64797869305436
RA_160.63DEC48.00,18,382.9252722600864
RA_160.67DEC48.18,18,93.81950082771516
RA_160.73DEC46.69,17,251.19521770432888
RA_160.78DEC45.99,16,175.96973070528696
RA_160.89DEC46.20,15,4729.570627455264
RA_160.89DEC48.22,16,510.4059831812891
RA_161.00DEC46.21,15,976.411159768002
RA_161.00DEC46.28,15,191.947233358862
RA_161.00DEC47.17,15,312.5200968863956
RA_161.03DEC48.57,16,91.5206668454009
RA_161.04DEC47.21,15,154.04170105576162
RA_161.20DEC47.29,10,70.07445100215315
RA_161.23DEC48.55,14,518.2187203535071
RA_161.34DEC45.56,12,1190.025448025809
RA_161.47DEC47.86,12,98.1071632734238
RA_164.22DEC-32.56,10,149.37669502484044
RA_164.32DEC-30.56,10,180.43667739717733
RA_164.53DEC-31.15,14,133.9418080580529
RA_164.55DEC-31.79,16,136.3059822965074
RA_164.62DEC-32.11,18,117.07163003229928
RA_164.62DEC-32.78,18,309.0652844911835
RA_164.65DEC-31.04,18,169.1603647125176
RA_164.72DEC-30.28,10,79.89485975131507
RA_164.72DEC-31.17,13,85.07576253168158
RA_164.76DEC7.03,38,83.26727864082056
RA_164.78DEC7.42,39,102.61924764936224
RA_164.78DEC9.45,34,72.11688472263498
RA_164.79DEC6.93,39,336.8314055989096
RA_164.87DEC9.98,38,98.69367767532955
RA_164.88DEC7.22,38,417.8967722893845
RA_164.89DEC-33.08,25,602.4113330152024
RA_164.89DEC9.93,38,1074.32972275006
RA_164.90DEC-30.97,24,98.16291882417578
RA_164.90DEC-31.36,24,124.50972910187778
RA_164.90DEC-33.05,25,114.92631289944333
RA_164.93DEC-32.24,26,355.3068145206158
RA_165.08DEC-33.12,29,116.85153667825497
RA_165.11DEC8.54,34,69.58842041985281
RA_165.14DEC7.05,35,90.24161411577388
RA_165.23DEC-32.59,28,94.72601203769148
RA_165.24DEC7.62,35,219.3787043187492
RA_165.25DEC-31.80,32,178.5196420374037
RA_165.26DEC-31.79,32,111.09998490460582
RA_165.29DEC-31.24,30,100.0749977975393
RA_165.29DEC-33.10,32,108.68086170697248
RA_165.33DEC-31.71,32,108.85427866728111
RA_165.34DEC46.56,22,1407.218499219652
RA_165.34DEC46.79,18,120.82971536476046
RA_165.36DEC-32.40,33,110.56606043624478
RA_165.37DEC-32.06,33,170.5405166155233
RA_165.39DEC-31.73,27,96.51871701825455
RA_165.45DEC6.87,33,103.161450506243
RA_165.55DEC9.75,33,157.45930163892547
RA_165.55DEC9.90,33,237.0981398140463
RA_165.56DEC8.87,33,205.23481418488615
RA_165.57DEC10.15,32,111.23450224776218
RA_165.57DEC47.03,19,140.52800373164422
RA_165.59DEC8.61,32,197.11229715825624
RA_165.64DEC-32.19,35,131.16062328205805
RA_165.64DEC9.17,32,1098.9369407273357
RA_165.65DEC10.33,24,75.89343040093962
RA_165.65DEC8.14,32,109.3894384367962
RA_165.68DEC-30.57,26,85.1469359803312
RA_165.75DEC9.13,30,79.32654765597276
RA_165.77DEC-30.50,35,94.46386607450668
RA_165.77DEC-31.49,28,80.92680055659864
RA_165.80DEC48.61,19,143.18585726524057
RA_165.81DEC8.19,31,155.7231521335398
RA_165.82DEC-30.72,36,167.6174608605255
RA_165.82DEC-31.89,37,225.22732035638197
RA_165.82DEC48.81,19,474.9716960736549
RA_165.86DEC-30.50,28,88.31918829962116
RA_165.90DEC-30.26,37,340.3236541989994
RA_165.92DEC7.02,30,166.7637348279534
RA_165.92DEC7.58,30,1030.893418224099
RA_165.92DEC9.32,23,70.82969906169292
RA_165.93DEC8.73,30,525.853684952853
RA_165.97DEC47.63,17,138.92218443070027
RA_165.99DEC9.95,29,546.6444524581613
RA_166.01DEC-31.15,34,89.36888095608882
RA_166.05DEC-31.55,38,150.6458940883994
RA_166.05DEC8.17,29,127.63049215396158
RA_166.06DEC-30.51,20,72.92205460342647
RA_166.09DEC-31.98,39,192.13193785139015
RA_166.16DEC-30.04,37,102.5427613035815
RA_166.16DEC7.16,28,94.42545099948528
RA_166.18DEC-32.08,40,194.93341826660506
RA_166.19DEC-31.84,39,99.22174276921163
RA_166.20DEC48.26,16,262.3108034975712
RA_166.21DEC-32.21,40,109.6826943181085
RA_166.26DEC7.33,27,5919.615833106504
RA_166.29DEC-32.18,41,175.27126512903928
RA_166.29DEC48.58,14,121.51782709287984
RA_166.31DEC9.57,27,143.36201787798635
RA_166.32DEC-33.08,41,151.24176363022337
RA_166.33DEC-30.53,40,165.5751048335531
RA_166.39DEC-31.71,35,89.51576332456743
RA_166.44DEC-31.54,38,88.76730269071332
RA_166.45DEC48.06,14,177.78683543814185
RA_166.49DEC46.93,12,129.5150279504319
RA_166.51DEC-32.94,41,100.26989603062762
RA_166.53DEC7.03,25,309.72459346791624
RA_166.53DEC7.32,22,85.24190267734049
RA_166.54DEC-30.29,42,227.49866195275254
RA_166.54DEC7.14,25,896.2729226077571
RA_166.56DEC10.31,25,165.14759935702946
RA_166.56DEC8.50,21,77.5013981807601
RA_166.58DEC9.39,25,140.86064301913572
RA_166.59DEC-31.10,43,296.33256331558124
RA_166.60DEC-32.64,38,83.32301103257134
RA_166.66DEC9.96,24,357.5697211136588
RA_166.68DEC-31.24,43,169.1337804065131
