# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:35:41.761
# DATE-END: 2025-01-20T21:35:42.819
# TSTART: 1737408941760.78
# TSTOP: 1737408942760.78
# DATE: 2025-01-20T21:35:45
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1724125879441
# DEC: 22.0168212141992
# EQUINOX: 2000.0
# CRVAL1: 84.1724125879441
# CRVAL2: 22.0168212141992
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00080850240402501
# CD1_2: 0.00163753911127081
# CD2_1: -0.00163717803660195
# CD2_2: -0.000808641651112419
# A_ORDER: 2
# A_0_2: 2.24746466795151e-08
# A_1_1: 1.7940484665603e-07
# A_2_0: -2.13403877905194e-07
# B_ORDER: 2
# B_0_2: 1.64192254867837e-07
# B_1_1: -2.51541506253952e-07
# B_2_0: 4.10836250110619e-07
# AP_ORDER: 2
# AP_0_0: 1.86148230409226e-06
# AP_0_1: -1.09867707786833e-07
# AP_0_2: -2.24755043904851e-08
# AP_1_0: 2.60726300964528e-07
# AP_1_1: -1.7940262585464e-07
# AP_2_0: 2.13400159016962e-07
# BP_ORDER: 2
# BP_0_0: -2.34305114978165e-06
# BP_0_1: 3.63222215647133e-07
# BP_0_2: -1.64191153320046e-07
# BP_1_0: -4.71022430882612e-07
# BP_1_1: 2.51535779340724e-07
# BP_2_0: -4.10831057557972e-07
# NOME_FILE_FITS: 20250120_213541.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_023.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_81.189__DEC_20.423,2984.5728162734795,27.232711951759107,81.18863629042906,20.42256838568945,5.0,12.0,NO,155,94.56098055186408,91.79576061131608,99.70,1.54,91.79576061131608,99.70,1.54,34.96647959366512,46.55,2.09,3.5,1,23,SI (Rank 1),II/389/ps1_dr2,1.3250081190235786e+17,81.19025416,20.42282793,9.6921,91.8,99.70,1.54,3.5
RA_81.189__DEC_20.423,2984.5728162734795,27.232711951759107,81.18863629042906,20.42256838568945,5.0,12.0,NO,155,94.56098055186408,91.79576061131608,99.70,1.54,91.79576061131608,99.70,1.54,34.96647959366512,46.55,2.09,3.5,1,23,SI (Rank 2),II/389/ps1_dr2,1.3250081190580782e+17,81.19047456,20.42266981,11.187,91.8,99.70,1.54,3.5
RA_81.189__DEC_20.423,2984.5728162734795,27.232711951759107,81.18863629042906,20.42256838568945,5.0,12.0,NO,155,94.56098055186408,91.79576061131608,99.70,1.54,91.79576061131608,99.70,1.54,34.96647959366512,46.55,2.09,3.5,1,23,SI (Rank 3),II/389/ps1_dr2,1.3250081190029686e+17,81.18997934,20.42194635,12.4594,91.8,99.70,1.54,3.5
RA_81.189__DEC_20.423,2984.5728162734795,27.232711951759107,81.18863629042906,20.42256838568945,5.0,12.0,NO,155,94.56098055186408,91.79576061131608,99.70,1.54,91.79576061131608,99.70,1.54,34.96647959366512,46.55,2.09,3.5,1,23,SI (Rank 4),II/389/ps1_dr2,1.3250081191104878e+17,81.19117491,20.42359042,13.0094,91.8,99.70,1.54,3.5
RA_81.189__DEC_20.423,2984.5728162734795,27.232711951759107,81.18863629042906,20.42256838568945,5.0,12.0,NO,155,94.56098055186408,91.79576061131608,99.70,1.54,91.79576061131608,99.70,1.54,34.96647959366512,46.55,2.09,3.5,1,23,SI (Rank 5),II/389/ps1_dr2,1.3250081191231837e+17,81.19115346,20.42310033,14.2889,91.8,99.70,1.54,3.5
RA_81.292__DEC_20.583,2882.323022428646,37.87522269378551,81.29162577890206,20.582818187706977,88.0,95.0,NO,215,1734.7812706116947,1679.6680087129498,1591.07,7.27,1690.5149089745642,1604.25,7.77,1690.7153543739378,1605.26,8.53,6.07074542710872,1,23,SI (Rank 1),II/389/ps1_dr2,1.3270081293375078e+17,81.29323099,20.58370643,6.453,1708.51,1619.93,7.25,6.37
RA_81.292__DEC_20.583,2882.323022428646,37.87522269378551,81.29162577890206,20.582818187706977,88.0,95.0,NO,214,1734.7812706116947,1679.6680087129498,1591.26,7.34,1690.5149089745642,1604.52,7.84,1690.7153543739378,1605.71,8.60,6.07074542710872,1,23,SI (Rank 2),II/389/ps1_dr2,1.3270081289714494e+17,81.28994724,20.5869675,12.3114,1708.54,1620.13,7.32,6.38
RA_81.292__DEC_20.583,2882.323022428646,37.87522269378551,81.29162577890206,20.582818187706977,88.0,95.0,NO,215,1734.7812706116947,1679.6680087129498,1591.07,7.27,1690.5149089745642,1604.25,7.77,1690.7153543739378,1605.26,8.53,6.07074542710872,1,23,SI (Rank 3),II/389/ps1_dr2,1.3270081292254182e+17,81.29235221,20.58447437,12.8086,1708.51,1619.93,7.25,6.37
RA_81.292__DEC_20.583,2882.323022428646,37.87522269378551,81.29162577890206,20.582818187706977,88.0,95.0,NO,215,1734.7812706116947,1679.6680087129498,1591.07,7.27,1690.5149089745642,1604.25,7.77,1690.7153543739378,1605.26,8.53,6.07074542710872,1,23,SI (Rank 4),II/389/ps1_dr2,1.3270081294341058e+17,81.29434599,20.58341985,12.8486,1708.51,1619.93,7.25,6.37
RA_81.292__DEC_20.583,2882.323022428646,37.87522269378551,81.29162577890206,20.582818187706977,88.0,95.0,NO,215,1734.7812706116947,1679.6680087129498,1591.07,7.27,1690.5149089745642,1604.25,7.77,1690.7153543739378,1605.26,8.53,6.07074542710872,1,23,SI (Rank 5),II/389/ps1_dr2,1.3270081294269011e+17,81.29417628,20.58289277,13.1611,1708.51,1619.93,7.25,6.37
