# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:48:34.141
# DATE-END: 2025-01-20T21:48:35.200
# TSTART: 1737409714141.18
# TSTOP: 1737409715141.18
# DATE: 2025-01-20T21:48:37
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1706296390169
# DEC: 22.0143322962219
# EQUINOX: 2000.0
# CRVAL1: 84.1706296390169
# CRVAL2: 22.0143322962219
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000924478313207052
# CD1_2: 0.00157494134079237
# CD2_1: -0.00157447858314045
# CD2_2: -0.000924648689826347
# A_ORDER: 2
# A_0_2: -2.99244927524926e-07
# A_1_1: -3.10264645594548e-08
# A_2_0: -2.07720790050437e-07
# B_ORDER: 2
# B_0_2: 6.8097637249926e-08
# B_1_1: -1.40233894966539e-07
# B_2_0: 2.192769484209e-07
# AP_ORDER: 2
# AP_0_0: 1.2438523375143e-06
# AP_0_1: -1.10099201677979e-07
# AP_0_2: 2.99243451859199e-07
# AP_1_0: 1.94856213437084e-07
# AP_1_1: 3.10258769864593e-08
# AP_2_0: 2.07719188602714e-07
# BP_ORDER: 2
# BP_0_0: -1.79610504445667e-06
# BP_0_1: 8.79257787931087e-08
# BP_0_2: -6.80970890037433e-08
# BP_1_0: -2.39002049484846e-07
# BP_1_1: 1.40234628591553e-07
# BP_2_0: -2.19273865799255e-07
# NOME_FILE_FITS: 20250120_214834.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_061.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_81.178__DEC_20.880,2834.594014605938,7.482568959182994,81.17771412950616,20.88037348359052,14.0,15.0,NO,169,149.28621105518323,137.8871586647562,148.23,2.82,137.8871586647562,149.05,2.87,93.4086362753544,117.72,3.12,3.5,1,61,SI (Rank 1),II/389/ps1_dr2,1.330508118010871e+17,81.17980065,20.88039458,9.0389,143.49,151.64,2.87,3.87
RA_81.189__DEC_20.423,3051.006206795976,134.99912125682113,81.18834431627167,20.422604405821104,7.0,11.0,NO,155,82.8132288625858,80.23167753569955,99.70,1.54,80.23167753569955,99.70,1.54,36.748002978994656,46.55,2.09,3.5,1,61,SI (Rank 1),II/389/ps1_dr2,1.3250081190235786e+17,81.19025416,20.42282793,9.6921,80.23,99.70,1.54,3.5
RA_81.189__DEC_20.423,3051.006206795976,134.99912125682113,81.18834431627167,20.422604405821104,7.0,11.0,NO,155,82.8132288625858,80.23167753569955,99.70,1.54,80.23167753569955,99.70,1.54,36.748002978994656,46.55,2.09,3.5,1,61,SI (Rank 2),II/389/ps1_dr2,1.3250081190580782e+17,81.19047456,20.42266981,11.187,80.23,99.70,1.54,3.5
RA_81.189__DEC_20.423,3051.006206795976,134.99912125682113,81.18834431627167,20.422604405821104,7.0,11.0,NO,155,82.8132288625858,80.23167753569955,99.70,1.54,80.23167753569955,99.70,1.54,36.748002978994656,46.55,2.09,3.5,1,61,SI (Rank 3),II/389/ps1_dr2,1.3250081190029686e+17,81.18997934,20.42194635,12.4594,80.23,99.70,1.54,3.5
RA_81.189__DEC_20.423,3051.006206795976,134.99912125682113,81.18834431627167,20.422604405821104,7.0,11.0,NO,155,82.8132288625858,80.23167753569955,99.70,1.54,80.23167753569955,99.70,1.54,36.748002978994656,46.55,2.09,3.5,1,61,SI (Rank 4),II/389/ps1_dr2,1.3250081191104878e+17,81.19117491,20.42359042,13.0094,80.23,99.70,1.54,3.5
RA_81.189__DEC_20.423,3051.006206795976,134.99912125682113,81.18834431627167,20.422604405821104,7.0,11.0,NO,155,82.8132288625858,80.23167753569955,99.70,1.54,80.23167753569955,99.70,1.54,36.748002978994656,46.55,2.09,3.5,1,61,SI (Rank 5),II/389/ps1_dr2,1.3250081191231837e+17,81.19115346,20.42310033,14.2889,80.23,99.70,1.54,3.5
RA_81.292__DEC_20.583,2948.255825598845,138.32957587534955,81.2916242151975,20.58275156545463,85.0,95.0,NO,215,1593.47676504426,1538.6861460948585,1591.07,7.27,1542.4430168859917,1604.25,7.77,1532.6230885763764,1605.26,8.53,5.776651160896292,1,61,SI (Rank 1),II/389/ps1_dr2,1.3270081293375078e+17,81.29323099,20.58370643,6.453,1572.73,1619.93,7.25,6.37
RA_81.292__DEC_20.583,2948.255825598845,138.32957587534955,81.2916242151975,20.58275156545463,85.0,95.0,NO,214,1593.47676504426,1538.6861460948585,1591.26,7.34,1542.4430168859917,1604.52,7.84,1532.6230885763764,1605.71,8.60,5.776651160896292,1,61,SI (Rank 2),II/389/ps1_dr2,1.3270081289714494e+17,81.28994724,20.5869675,12.3114,1572.76,1620.13,7.32,6.38
RA_81.292__DEC_20.583,2948.255825598845,138.32957587534955,81.2916242151975,20.58275156545463,85.0,95.0,NO,215,1593.47676504426,1538.6861460948585,1591.07,7.27,1542.4430168859917,1604.25,7.77,1532.6230885763764,1605.26,8.53,5.776651160896292,1,61,SI (Rank 3),II/389/ps1_dr2,1.3270081292254182e+17,81.29235221,20.58447437,12.8086,1572.73,1619.93,7.25,6.37
RA_81.292__DEC_20.583,2948.255825598845,138.32957587534955,81.2916242151975,20.58275156545463,85.0,95.0,NO,215,1593.47676504426,1538.6861460948585,1591.07,7.27,1542.4430168859917,1604.25,7.77,1532.6230885763764,1605.26,8.53,5.776651160896292,1,61,SI (Rank 4),II/389/ps1_dr2,1.3270081294341058e+17,81.29434599,20.58341985,12.8486,1572.73,1619.93,7.25,6.37
