# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:57:22.122
# DATE-END: 2025-01-20T21:57:23.181
# TSTART: 1737410242121.92
# TSTOP: 1737410243121.92
# DATE: 2025-01-20T21:57:24
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.170781012089
# DEC: 22.0159878940876
# EQUINOX: 2000.0
# CRVAL1: 84.170781012089
# CRVAL2: 22.0159878940876
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.0010330125068407
# CD1_2: 0.00150594349664325
# CD2_1: -0.00150578937258316
# CD2_2: -0.00103317584371109
# A_ORDER: 2
# A_0_2: -4.44537562550544e-08
# A_1_1: 1.48893315318093e-07
# A_2_0: -2.71736979663917e-07
# B_ORDER: 2
# B_0_2: -8.48010090227836e-09
# B_1_1: -2.44714237235804e-07
# B_2_0: 3.6253694902371e-07
# AP_ORDER: 2
# AP_0_0: 2.65146200133515e-06
# AP_0_1: -1.61250859088113e-07
# AP_0_2: 4.44528546633007e-08
# AP_1_0: 3.24705115448576e-07
# AP_1_1: -1.48889932672879e-07
# AP_2_0: 2.71731616407849e-07
# BP_ORDER: 2
# BP_0_0: -3.81771220592242e-06
# BP_0_1: 1.9624573404538e-07
# BP_0_2: 8.48089577582154e-09
# BP_1_0: -4.48220434880116e-07
# BP_1_1: 2.44709917903427e-07
# BP_2_0: -3.62529069419457e-07
# NOME_FILE_FITS: 20250120_215722.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_087.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_81.178__DEC_20.880,2903.438869856343,101.50047999187986,81.17794791066596,20.88038554175429,14.0,15.0,NO,169,144.99752635101126,139.56063131459152,148.23,2.82,139.56063131459152,149.05,2.87,96.93327073422802,117.72,3.12,3.5,1,87,SI (Rank 1),II/389/ps1_dr2,1.330508118010871e+17,81.17980065,20.88039458,9.0389,143.08,151.64,2.87,3.87
RA_81.292__DEC_20.583,3007.70259052385,239.92375057624625,81.29172788008024,20.5827387949726,83.0,95.0,NO,215,1585.8308210095256,1529.2688827268444,1591.07,7.27,1543.8584539699152,1604.25,7.77,1544.505510768167,1605.26,8.53,6.03893886048084,1,87,SI (Rank 1),II/389/ps1_dr2,1.3270081293375078e+17,81.29323099,20.58370643,6.453,1559.37,1619.93,7.25,6.37
RA_81.292__DEC_20.583,3007.70259052385,239.92375057624625,81.29172788008024,20.5827387949726,83.0,95.0,NO,214,1585.8308210095256,1529.2688827268444,1591.26,7.34,1543.8584539699152,1604.52,7.84,1544.505510768167,1605.71,8.60,6.03893886048084,1,87,SI (Rank 2),II/389/ps1_dr2,1.3270081289714494e+17,81.28994724,20.5869675,12.3114,1559.39,1620.13,7.32,6.38
RA_81.292__DEC_20.583,3007.70259052385,239.92375057624625,81.29172788008024,20.5827387949726,83.0,95.0,NO,215,1585.8308210095256,1529.2688827268444,1591.07,7.27,1543.8584539699152,1604.25,7.77,1544.505510768167,1605.26,8.53,6.03893886048084,1,87,SI (Rank 3),II/389/ps1_dr2,1.3270081292254182e+17,81.29235221,20.58447437,12.8086,1559.37,1619.93,7.25,6.37
RA_81.292__DEC_20.583,3007.70259052385,239.92375057624625,81.29172788008024,20.5827387949726,83.0,95.0,NO,215,1585.8308210095256,1529.2688827268444,1591.07,7.27,1543.8584539699152,1604.25,7.77,1544.505510768167,1605.26,8.53,6.03893886048084,1,87,SI (Rank 4),II/389/ps1_dr2,1.3270081294341058e+17,81.29434599,20.58341985,12.8486,1559.37,1619.93,7.25,6.37
RA_81.292__DEC_20.583,3007.70259052385,239.92375057624625,81.29172788008024,20.5827387949726,83.0,95.0,NO,215,1585.8308210095256,1529.2688827268444,1591.07,7.27,1543.8584539699152,1604.25,7.77,1544.505510768167,1605.26,8.53,6.03893886048084,1,87,SI (Rank 5),II/389/ps1_dr2,1.3270081294269011e+17,81.29417628,20.58289277,13.1611,1559.37,1619.93,7.25,6.37
RA_81.292__DEC_20.583,3007.70259052385,239.92375057624625,81.29172788008024,20.5827387949726,83.0,95.0,NO,215,1585.8308210095256,1529.2688827268444,1591.07,7.27,1543.8584539699152,1604.25,7.77,1544.505510768167,1605.26,8.53,6.03893886048084,1,87,SI (Rank 6),II/389/ps1_dr2,1.3270081292093142e+17,81.29195597,20.58408639,13.3859,1559.37,1619.93,7.25,6.37
RA_81.464__DEC_21.133,2706.807038759969,147.93179710150824,81.46419001431741,21.132949150352218,23.0,25.0,NO,236,243.25556290233743,238.27306463626115,268.88,2.26,238.6795007062271,270.11,2.31,221.52669437326952,251.31,2.22,3.775994052027445,1,87,SI (Rank 1),I/239/hip_main,25385.0,81.4653225298,21.1325115058,8.77,240.87,273.84,2.36,4.27
RA_81.464__DEC_21.133,2706.807038759969,147.93179710150824,81.46419001431741,21.132949150352218,23.0,25.0,NO,236,243.25556290233743,238.27306463626115,268.88,2.26,238.6795007062271,270.11,2.31,221.52669437326952,251.31,2.22,3.775994052027445,1,87,SI (Rank 2),II/389/ps1_dr2,1.3335081466134982e+17,81.46601453,21.13263068,13.9154,240.87,273.84,2.36,4.27
RA_81.464__DEC_21.133,2706.807038759969,147.93179710150824,81.46419001431741,21.132949150352218,23.0,25.0,NO,112,243.25556290233743,238.27306463626115,266.96,1.97,238.6795007062271,268.17,2.02,221.52669437326952,249.36,1.88,3.775994052027445,1,87,SI (Rank 3),II/389/ps1_dr2,1.3335081457515206e+17,81.45750563502,21.1262615312,14.9213,240.88,271.61,1.92,4.27
