# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:28:52.135
# DATE-END: 2025-01-20T22:28:53.194
# TSTART: 1737412132135.13
# TSTOP: 1737412133135.13
# DATE: 2025-01-20T22:28:54
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0913630829914
# DEC: 22.0168122926476
# EQUINOX: 2000.0
# CRVAL1: 83.0913630829914
# CRVAL2: 22.0168122926476
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00175207117509574
# CD1_2: 0.000514176752254038
# CD2_1: -0.000513566048059188
# CD2_2: -0.00175274207116667
# A_ORDER: 2
# A_0_2: -1.09908546988886e-07
# A_1_1: 3.76449743908261e-07
# A_2_0: -3.29290518493865e-08
# B_ORDER: 2
# B_0_2: 3.5176834542717e-07
# B_1_1: 2.73166147304013e-07
# B_2_0: 2.25765390909045e-08
# AP_ORDER: 2
# AP_0_0: 6.25519149270263e-07
# AP_0_1: -2.80983776648387e-08
# AP_0_2: 1.09909316905977e-07
# AP_1_0: 9.73061469314755e-08
# AP_1_1: -3.76454114412578e-07
# AP_2_0: 3.29283270042998e-08
# BP_ORDER: 2
# BP_0_0: 2.91655224197533e-06
# BP_0_1: 2.25461209878741e-07
# BP_0_2: -3.51776469430373e-07
# BP_1_0: 1.48982543060738e-07
# BP_1_1: -2.73173667140338e-07
# BP_2_0: -2.25773693365566e-08
# NOME_FILE_FITS: 20250120_222852.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_061.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.150__DEC_21.552,3041.48973016609,831.4965370833169,80.14943505778963,21.551954484269192,4.0,10.0,NO,80,82.30384722760564,80.61947445958224,86.35,1.26,80.61947445958224,86.35,1.26,11.295149255300272,26.29,1.49,3.5,2,61,SI (Rank 1),II/389/ps1_dr2,1.338608014951502e+17,80.14977951,21.5498968,11.7693,80.62,86.35,1.26,3.5
RA_80.150__DEC_21.552,3041.48973016609,831.4965370833169,80.14943505778963,21.551954484269192,4.0,10.0,NO,80,82.30384722760564,80.61947445958224,86.35,1.26,80.61947445958224,86.35,1.26,11.295149255300272,26.29,1.49,3.5,2,61,SI (Rank 2),II/389/ps1_dr2,1.3386080150082093e+17,80.14998839,21.55006801,12.515,80.62,86.35,1.26,3.5
RA_80.150__DEC_21.552,3041.48973016609,831.4965370833169,80.14943505778963,21.551954484269192,4.0,10.0,NO,80,82.30384722760564,80.61947445958224,86.35,1.26,80.61947445958224,86.35,1.26,11.295149255300272,26.29,1.49,3.5,2,61,SI (Rank 3),II/389/ps1_dr2,1.3386080149885064e+17,80.14996924,21.55005665,12.597,80.62,86.35,1.26,3.5
RA_80.461__DEC_20.935,2990.2476408426405,1201.6484173904134,80.46111447215118,20.93490643312253,16.0,17.0,NO,116,141.1282370886495,137.9614164647046,150.09,1.46,137.9614164647046,150.24,1.48,117.73527910479554,116.39,1.54,3.5,2,61,SI (Rank 1),II/389/ps1_dr2,1.3312080462564131e+17,80.46241238,20.9338135,8.9963,138.82,151.67,1.48,3.61
RA_80.461__DEC_20.935,2990.2476408426405,1201.6484173904134,80.46111447215118,20.93490643312253,16.0,17.0,NO,116,141.1282370886495,137.9614164647046,150.09,1.46,137.9614164647046,150.24,1.48,117.73527910479554,116.39,1.54,3.5,2,61,SI (Rank 2),II/389/ps1_dr2,1.3312080462093085e+17,80.46213532,20.9336141,11.3206,138.82,151.67,1.48,3.61
RA_80.461__DEC_20.935,2990.2476408426405,1201.6484173904134,80.46111447215118,20.93490643312253,16.0,17.0,NO,69,141.1282370886495,137.9614164647046,148.75,2.04,137.9614164647046,148.97,2.10,117.73527910479554,115.25,2.20,3.5,2,61,SI (Rank 3),II/389/ps1_dr2,1.3312080453327894e+17,80.45333587447,20.94033238424,14.5353,139.15,150.75,2.08,3.66
RA_80.494__DEC_22.956,2644.8594023677124,149.56657243741665,80.4938649978836,22.955543518756546,29.0,27.0,NO,103,299.60125398516067,282.98081063914617,309.81,2.34,287.64852842985505,310.97,2.32,269.6371520591836,282.79,2.12,3.9219115214261424,2,61,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,293.18,316.09,2.13,4.18
RA_80.494__DEC_22.956,2644.8594023677124,149.56657243741665,80.4938649978836,22.955543518756546,29.0,27.0,NO,103,299.60125398516067,282.98081063914617,309.81,2.34,287.64852842985505,310.97,2.32,269.6371520591836,282.79,2.12,3.9219115214261424,2,61,SI (Rank 2),II/389/ps1_dr2,1.3554080494877482e+17,80.49473708,22.95344273,13.0488,293.18,316.09,2.13,4.18
RA_80.494__DEC_22.956,2644.8594023677124,149.56657243741665,80.4938649978836,22.955543518756546,29.0,27.0,NO,103,299.60125398516067,282.98081063914617,309.81,2.34,287.64852842985505,310.97,2.32,269.6371520591836,282.79,2.12,3.9219115214261424,2,61,SI (Rank 3),II/389/ps1_dr2,1.3554080495605722e+17,80.4955215,22.95561822,13.1194,293.18,316.09,2.13,4.18
RA_80.494__DEC_22.956,2644.8594023677124,149.56657243741665,80.4938649978836,22.955543518756546,29.0,27.0,NO,103,299.60125398516067,282.98081063914617,309.81,2.34,287.64852842985505,310.97,2.32,269.6371520591836,282.79,2.12,3.9219115214261424,2,61,SI (Rank 4),II/389/ps1_dr2,1.3554080493675554e+17,80.49352418,22.95416734,13.3754,293.18,316.09,2.13,4.18
