# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:44:25.578
# DATE-END: 2025-01-20T22:44:26.646
# TSTART: 1737413065577.86
# TSTOP: 1737413066577.86
# DATE: 2025-01-20T22:44:29
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.0912077783102
# DEC: 22.0169597001565
# EQUINOX: 2000.0
# CRVAL1: 83.0912077783102
# CRVAL2: 22.0169597001565
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00176889955965245
# CD1_2: -0.00045209139750741
# CD2_1: 0.000452471527456221
# CD2_2: -0.00176951731520336
# A_ORDER: 2
# A_0_2: 2.55556875631456e-07
# A_1_1: -4.79105003499058e-07
# A_2_0: -1.04798036679484e-07
# B_ORDER: 2
# B_0_2: 3.80726026032969e-07
# B_1_1: 3.13127005773464e-07
# B_2_0: -6.50881816830431e-07
# AP_ORDER: 2
# AP_0_0: 1.09422667726733e-06
# AP_0_1: -2.29069326545843e-07
# AP_0_2: -2.55558936993388e-07
# AP_1_0: 5.56097853148827e-07
# AP_1_1: 4.791063118859e-07
# AP_2_0: 1.04794687515065e-07
# BP_ORDER: 2
# BP_0_0: 2.93449179279056e-06
# BP_0_1: 4.04758297748153e-07
# BP_0_2: -3.80736054315278e-07
# BP_1_0: -1.46756231765934e-07
# BP_1_1: -3.13127430242682e-07
# BP_2_0: 6.50881806232915e-07
# NOME_FILE_FITS: 20250120_224425.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_107.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_79.884__DEC_21.014,2993.6931029148554,1945.987792981165,79.88361384347498,21.013917058158828,9.0,9.0,NO,14,136.30777515460954,116.07203037259504,113.24,1.71,116.07203037259504,113.24,1.71,65.52482672012384,63.67,2.53,3.5,2,107,SI (Rank 1),II/389/ps1_dr2,1.3321079884512557e+17,79.88437705,21.01246463,9.5233,116.07,113.24,1.71,3.5
RA_79.884__DEC_21.014,2993.6931029148554,1945.987792981165,79.88361384347498,21.013917058158828,9.0,9.0,NO,14,136.30777515460954,116.07203037259504,113.24,1.71,116.07203037259504,113.24,1.71,65.52482672012384,63.67,2.53,3.5,2,107,SI (Rank 2),II/389/ps1_dr2,1.332107988462959e+17,79.88459121,21.01265498,9.793,116.07,113.24,1.71,3.5
RA_79.884__DEC_21.014,2993.6931029148554,1945.987792981165,79.88361384347498,21.013917058158828,9.0,9.0,NO,14,136.30777515460954,116.07203037259504,113.24,1.71,116.07203037259504,113.24,1.71,65.52482672012384,63.67,2.53,3.5,2,107,SI (Rank 3),II/389/ps1_dr2,1.3321079885047576e+17,79.88509068,21.01250865,10.4935,116.07,113.24,1.71,3.5
RA_79.906__DEC_21.587,3053.5091618723645,1637.4490200782298,79.90689737904977,21.587423447744925,14.0,17.0,NO,50,179.59426088324224,146.3065772916885,148.41,2.80,146.3065772916885,149.32,2.95,96.875001684583,112.94,3.18,3.5,2,107,SI (Rank 1),II/389/ps1_dr2,1.339007990663523e+17,79.90661686,21.5845955,10.487,151.55,152.97,2.91,3.79
RA_79.906__DEC_21.587,3053.5091618723645,1637.4490200782298,79.90689737904977,21.587423447744925,14.0,17.0,NO,50,179.59426088324224,146.3065772916885,148.41,2.80,146.3065772916885,149.32,2.95,96.875001684583,112.94,3.18,3.5,2,107,SI (Rank 2),II/389/ps1_dr2,1.3390079906424189e+17,79.90653608,21.58455248,11.704,151.55,152.97,2.91,3.79
RA_79.906__DEC_21.587,3053.5091618723645,1637.4490200782298,79.90689737904977,21.587423447744925,14.0,17.0,NO,50,179.59426088324224,146.3065772916885,148.41,2.80,146.3065772916885,149.32,2.95,96.875001684583,112.94,3.18,3.5,2,107,SI (Rank 3),II/389/ps1_dr2,1.3390079907025203e+17,79.90693672,21.58459732,12.816,151.55,152.97,2.91,3.79
RA_80.020__DEC_21.153,2941.9986341521308,1855.4145224980405,80.0219765964016,21.153217920473043,21.0,13.0,NO,45,232.78827875027483,195.0324256384472,190.32,2.57,197.595270482056,192.93,2.64,159.31299640104928,157.51,2.83,3.98944075482003,2,107,SI (Rank 1),II/389/ps1_dr2,1.3338080022393216e+17,80.02253296,21.15154469,8.558,201.36,198.84,2.40,4.2
RA_80.020__DEC_21.153,2941.9986341521308,1855.4145224980405,80.0219765964016,21.153217920473043,21.0,13.0,NO,45,232.78827875027483,195.0324256384472,190.32,2.57,197.595270482056,192.93,2.64,159.31299640104928,157.51,2.83,3.98944075482003,2,107,SI (Rank 2),II/389/ps1_dr2,1.3338080022716222e+17,80.02255659,21.15158773,9.305,201.36,198.84,2.40,4.2
RA_80.154__DEC_20.963,2851.738164818547,1940.8639915384824,80.1551648112245,20.963379093733685,26.0,24.0,NO,53,300.9847672766198,233.53476502262865,239.35,2.71,237.10241849364,244.69,2.92,202.32621837443168,212.60,2.72,3.917047584108917,2,107,SI (Rank 1),II/389/ps1_dr2,1.331508015495548e+17,80.154878,20.961847,9.857,251.87,253.45,2.34,4.4
RA_80.154__DEC_20.963,2851.738164818547,1940.8639915384824,80.1551648112245,20.963379093733685,26.0,24.0,NO,53,300.9847672766198,233.53476502262865,239.35,2.71,237.10241849364,244.69,2.92,202.32621837443168,212.60,2.72,3.917047584108917,2,107,SI (Rank 2),II/389/ps1_dr2,1.3315080154823437e+17,80.15493865,20.96174985,10.5492,251.87,253.45,2.34,4.4
RA_80.154__DEC_20.963,2851.738164818547,1940.8639915384824,80.1551648112245,20.963379093733685,26.0,24.0,NO,53,300.9847672766198,233.53476502262865,239.35,2.71,237.10241849364,244.69,2.92,202.32621837443168,212.60,2.72,3.917047584108917,2,107,SI (Rank 3),II/389/ps1_dr2,1.3315080154388456e+17,80.15457634,20.96179317,13.578,251.87,253.45,2.34,4.4
RA_80.156__DEC_20.830,2834.1016543360943,2011.69866879839,80.1569655315641,20.830081133939142,59.0,45.0,NO,34,841.8877037831639,720.4490090823772,730.11,3.81,744.9603311158228,744.10,4.25,728.6659799630042,726.15,4.65,5.709764862496595,2,107,SI (Rank 1),I/239/hip_main,24945.0,80.15796755,20.8299402069,7.71,749.27,754.80,3.44,5.79
RA_80.156__DEC_20.830,2834.1016543360943,2011.69866879839,80.1569655315641,20.830081133939142,59.0,45.0,NO,34,841.8877037831639,720.4490090823772,730.11,3.81,744.9603311158228,744.10,4.25,728.6659799630042,726.15,4.65,5.709764862496595,2,107,SI (Rank 2),II/389/ps1_dr2,1.3299080157671744e+17,80.15761269,20.83070777,12.3498,749.27,754.80,3.44,5.79
RA_80.156__DEC_20.830,2834.1016543360943,2011.69866879839,80.1569655315641,20.830081133939142,59.0,45.0,NO,34,841.8877037831639,720.4490090823772,730.11,3.81,744.9603311158228,744.10,4.25,728.6659799630042,726.15,4.65,5.709764862496595,2,107,SI (Rank 3),II/389/ps1_dr2,1.329908015637246e+17,80.15640343,20.82855941,14.4379,749.27,754.80,3.44,5.79
RA_80.156__DEC_20.830,2834.1016543360943,2011.69866879839,80.1569655315641,20.830081133939142,59.0,45.0,NO,34,841.8877037831639,720.4490090823772,730.11,3.81,744.9603311158228,744.10,4.25,728.6659799630042,726.15,4.65,5.709764862496595,2,107,SI (Rank 4),II/389/ps1_dr2,1.330008015689319e+17,80.15686895961,20.83449331543,14.9783,749.27,754.80,3.44,5.79
RA_80.451__DEC_23.290,2996.4179814557465,666.7786235106505,80.4536591393479,23.288299911955,5.0,8.0,NO,43,93.09884256811236,89.05881741165508,84.36,1.15,89.05881741165508,84.36,1.15,35.809313418321246,27.55,1.90,3.5,2,107,SI (Rank 1),I/239/hip_main,25051.0,80.453950214,23.2835172983,10.04,89.06,84.36,1.15,3.5
RA_80.451__DEC_23.290,2996.4179814557465,666.7786235106505,80.4536591393479,23.288299911955,5.0,8.0,NO,43,93.09884256811236,89.05881741165508,84.36,1.15,89.05881741165508,84.36,1.15,35.809313418321246,27.55,1.90,3.5,2,107,SI (Rank 2),II/389/ps1_dr2,1.3594080454200088e+17,80.45419118,23.28367234,10.4035,89.06,84.36,1.15,3.5
RA_80.461__DEC_20.935,2694.761638784364,1919.4667276236623,80.46247254491745,20.934964469352767,16.0,17.0,NO,116,183.79726390327505,161.76894088435233,150.09,1.46,161.76894088435233,150.24,1.48,124.13066604348846,116.39,1.54,3.5,2,107,SI (Rank 1),II/389/ps1_dr2,1.3312080462564131e+17,80.46241238,20.9338135,8.9963,164.02,151.67,1.48,3.61
RA_80.461__DEC_20.935,2694.761638784364,1919.4667276236623,80.46247254491745,20.934964469352767,16.0,17.0,NO,116,183.79726390327505,161.76894088435233,150.09,1.46,161.76894088435233,150.24,1.48,124.13066604348846,116.39,1.54,3.5,2,107,SI (Rank 2),II/389/ps1_dr2,1.3312080462093085e+17,80.46213532,20.9336141,11.3206,164.02,151.67,1.48,3.61
