# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:44:45.965
# DATE-END: 2025-01-20T22:44:46.024
# TSTART: 1737413085964.79
# TSTOP: 1737413086964.8
# DATE: 2025-01-20T22:44:50
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.091431483761
# DEC: 22.0166333659802
# EQUINOX: 2000.0
# CRVAL1: 83.091431483761
# CRVAL2: 22.0166333659802
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00176366934678954
# CD1_2: -0.000472256722231262
# CD2_1: 0.000472088334835138
# CD2_2: -0.00176438534276859
# A_ORDER: 2
# A_0_2: -8.2404146950513e-09
# A_1_1: -2.60370577058009e-08
# A_2_0: -5.30245564551633e-08
# B_ORDER: 2
# B_0_2: 4.55524804305723e-07
# B_1_1: 4.21529377254472e-08
# B_2_0: -1.22834883079419e-07
# AP_ORDER: 2
# AP_0_0: 5.89156480786575e-08
# AP_0_1: -6.26641688532792e-10
# AP_0_2: 8.2405797276984e-09
# AP_1_0: 9.13525785444622e-09
# AP_1_1: 2.6037088301076e-08
# AP_2_0: 5.30243609647209e-08
# BP_ORDER: 2
# BP_0_0: 1.00284707718797e-06
# BP_0_1: 1.87449459368545e-07
# BP_0_2: -4.55530661383271e-07
# BP_1_0: 3.34117087724116e-08
# BP_1_1: -4.21520834350957e-08
# BP_2_0: 1.22835228557746e-07
# NOME_FILE_FITS: 20250120_224445.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_2_stelle_trovate_e_catalogate_immagine_108.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_79.884__DEC_21.014,2983.107612551162,1962.215778577329,79.88254509306894,21.012037840737342,9.0,9.0,NO,14,121.56711904675126,103.65608142643278,113.24,1.71,103.65608142643278,113.24,1.71,68.94483852410403,63.67,2.53,3.5,2,108,SI (Rank 1),II/389/ps1_dr2,1.3321079884512557e+17,79.88437705,21.01246463,9.5233,103.66,113.24,1.71,3.5
RA_79.884__DEC_21.014,2983.107612551162,1962.215778577329,79.88254509306894,21.012037840737342,9.0,9.0,NO,14,121.56711904675126,103.65608142643278,113.24,1.71,103.65608142643278,113.24,1.71,68.94483852410403,63.67,2.53,3.5,2,108,SI (Rank 2),II/389/ps1_dr2,1.332107988462959e+17,79.88459121,21.01265498,9.793,103.66,113.24,1.71,3.5
RA_79.884__DEC_21.014,2983.107612551162,1962.215778577329,79.88254509306894,21.012037840737342,9.0,9.0,NO,14,121.56711904675126,103.65608142643278,113.24,1.71,103.65608142643278,113.24,1.71,68.94483852410403,63.67,2.53,3.5,2,108,SI (Rank 3),II/389/ps1_dr2,1.3321079885047576e+17,79.88509068,21.01250865,10.4935,103.66,113.24,1.71,3.5
RA_79.906__DEC_21.587,3046.57907385979,1654.2201776457352,79.9056682953073,21.585579403623264,19.0,17.0,NO,50,204.2726611242183,159.59569510372464,148.41,2.80,159.59569510372464,149.32,2.95,123.79705765497714,112.94,3.18,3.5,2,108,SI (Rank 1),II/389/ps1_dr2,1.339007990663523e+17,79.90661686,21.5845955,10.487,168.54,152.97,2.91,3.79
RA_79.906__DEC_21.587,3046.57907385979,1654.2201776457352,79.9056682953073,21.585579403623264,19.0,17.0,NO,50,204.2726611242183,159.59569510372464,148.41,2.80,159.59569510372464,149.32,2.95,123.79705765497714,112.94,3.18,3.5,2,108,SI (Rank 2),II/389/ps1_dr2,1.3390079906424189e+17,79.90653608,21.58455248,11.704,168.54,152.97,2.91,3.79
RA_79.906__DEC_21.587,3046.57907385979,1654.2201776457352,79.9056682953073,21.585579403623264,19.0,17.0,NO,50,204.2726611242183,159.59569510372464,148.41,2.80,159.59569510372464,149.32,2.95,123.79705765497714,112.94,3.18,3.5,2,108,SI (Rank 3),II/389/ps1_dr2,1.3390079907025203e+17,79.90693672,21.58459732,12.816,168.54,152.97,2.91,3.79
RA_80.020__DEC_21.153,2932.4912321175143,1870.977838234903,80.0209741388228,21.151602089500056,22.0,16.0,NO,45,223.5218816455935,186.99969327510985,190.32,2.57,189.8976445657821,192.93,2.64,153.36520339021044,157.51,2.83,3.8445865845742566,2,108,SI (Rank 1),II/389/ps1_dr2,1.3338080022393216e+17,80.02253296,21.15154469,8.558,197.47,198.84,2.40,4.2
RA_80.020__DEC_21.153,2932.4912321175143,1870.977838234903,80.0209741388228,21.151602089500056,22.0,16.0,NO,45,223.5218816455935,186.99969327510985,190.32,2.57,189.8976445657821,192.93,2.64,153.36520339021044,157.51,2.83,3.8445865845742566,2,108,SI (Rank 2),II/389/ps1_dr2,1.3338080022716222e+17,80.02255659,21.15158773,9.305,197.47,198.84,2.40,4.2
RA_80.149__DEC_21.080,2858.6741981718887,1893.338816408526,80.15039207213577,21.079610644070303,3.0,9.0,NO,30,85.76027121119357,82.87278181021847,84.54,1.07,82.87278181021847,84.54,1.07,13.524244530978464,21.90,1.88,3.5,2,108,SI (Rank 1),II/389/ps1_dr2,1.3329080151379448e+17,80.15121634,21.07842576,10.8712,82.87,84.54,1.07,3.5
RA_80.149__DEC_21.080,2858.6741981718887,1893.338816408526,80.15039207213577,21.079610644070303,3.0,9.0,NO,30,85.76027121119357,82.87278181021847,84.54,1.07,82.87278181021847,84.54,1.07,13.524244530978464,21.90,1.88,3.5,2,108,SI (Rank 2),II/389/ps1_dr2,1.3329080151480406e+17,80.15155915,21.07802442,11.0376,82.87,84.54,1.07,3.5
