# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:18:27.464
# DATE-END: 2025-01-20T23:18:28.523
# TSTART: 1737415107464.26
# TSTOP: 1737415108464.26
# DATE: 2025-01-20T23:18:30
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6306634958623
# DEC: 21.5170689454271
# EQUINOX: 2000.0
# CRVAL1: 83.6306634958623
# CRVAL2: 21.5170689454271
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00115054608045527
# CD1_2: -0.00141874074065053
# CD2_1: 0.00141798952865888
# CD2_2: -0.00115080367845933
# A_ORDER: 2
# A_0_2: -4.21906284412735e-07
# A_1_1: 2.85115814696919e-07
# A_2_0: -1.83085010189816e-07
# B_ORDER: 2
# B_0_2: 6.02862562564188e-07
# B_1_1: -9.75384451169286e-08
# B_2_0: 1.56145201983205e-07
# AP_ORDER: 2
# AP_0_0: -3.58664416152029e-07
# AP_0_1: -6.77839273742096e-07
# AP_0_2: 4.21913540555262e-07
# AP_1_0: 3.46313883662619e-07
# AP_1_1: -2.85115158549042e-07
# AP_2_0: 1.83083263734626e-07
# BP_ORDER: 2
# BP_0_0: 2.28143446766952e-06
# BP_0_1: 7.60302215975833e-07
# BP_0_2: -6.0287449004388e-07
# BP_1_0: -2.31398900635848e-07
# BP_1_1: 9.75359459144104e-08
# BP_2_0: -1.56144757702074e-07
# NOME_FILE_FITS: 20250120_231827.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_023.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.633__DEC_22.173,2783.6920885743984,1968.1715848997724,80.63161613668281,22.17140868347196,18.0,18.0,NO,155,175.3855299338913,162.49660240588778,170.06,1.80,162.49660240588778,170.66,1.86,130.93677376539077,142.97,1.96,3.5,3,23,SI (Rank 1),II/389/ps1_dr2,1.3460080633080562e+17,80.63320209,22.17082104,9.338,165.72,172.72,1.78,3.68
RA_80.633__DEC_22.173,2783.6920885743984,1968.1715848997724,80.63161613668281,22.17140868347196,18.0,18.0,NO,155,175.3855299338913,162.49660240588778,170.06,1.80,162.49660240588778,170.66,1.86,130.93677376539077,142.97,1.96,3.5,3,23,SI (Rank 2),II/389/ps1_dr2,1.3460080632849502e+17,80.63271842,22.17042241,9.3438,165.72,172.72,1.78,3.68
RA_80.633__DEC_22.173,2783.6920885743984,1968.1715848997724,80.63161613668281,22.17140868347196,18.0,18.0,NO,155,175.3855299338913,162.49660240588778,170.06,1.80,162.49660240588778,170.66,1.86,130.93677376539077,142.97,1.96,3.5,3,23,SI (Rank 3),II/389/ps1_dr2,1.3460080633271594e+17,80.63341688,22.17124147,9.4743,165.72,172.72,1.78,3.68
RA_80.633__DEC_22.173,2783.6920885743984,1968.1715848997724,80.63161613668281,22.17140868347196,18.0,18.0,NO,155,175.3855299338913,162.49660240588778,170.06,1.80,162.49660240588778,170.66,1.86,130.93677376539077,142.97,1.96,3.5,3,23,SI (Rank 4),II/389/ps1_dr2,1.3460080632562483e+17,80.6324625,22.1701378,11.7803,165.72,172.72,1.78,3.68
RA_80.633__DEC_22.173,2783.6920885743984,1968.1715848997724,80.63161613668281,22.17140868347196,18.0,18.0,NO,155,175.3855299338913,162.49660240588778,170.06,1.80,162.49660240588778,170.66,1.86,130.93677376539077,142.97,1.96,3.5,3,23,SI (Rank 5),II/389/ps1_dr2,1.346008063373054e+17,80.63383564,22.17090452,13.5644,165.72,172.72,1.78,3.68
RA_80.633__DEC_22.173,2783.6920885743984,1968.1715848997724,80.63161613668281,22.17140868347196,18.0,18.0,NO,155,175.3855299338913,162.49660240588778,170.06,1.80,162.49660240588778,170.66,1.86,130.93677376539077,142.97,1.96,3.5,3,23,SI (Rank 6),II/389/ps1_dr2,1.3460080631725389e+17,80.63157499,22.1692501,14.4074,165.72,172.72,1.78,3.68
RA_81.044__DEC_23.111,3043.5050873524096,1478.4608787263026,81.04181194639044,23.10963218007032,4.0,12.0,NO,96,86.14185999289076,82.71635085865546,77.91,1.47,82.71635085865546,77.91,1.47,12.357361722671357,17.83,1.79,3.5,3,23,SI (Rank 1),II/389/ps1_dr2,1.3573081043251136e+17,81.04307607,23.10879962,10.3589,82.72,77.91,1.47,3.5
RA_81.044__DEC_23.111,3043.5050873524096,1478.4608787263026,81.04181194639044,23.10963218007032,4.0,12.0,NO,96,86.14185999289076,82.71635085865546,77.91,1.47,82.71635085865546,77.91,1.47,12.357361722671357,17.83,1.79,3.5,3,23,SI (Rank 2),II/389/ps1_dr2,1.3573081043535168e+17,81.0432864,23.10934006,10.8043,82.72,77.91,1.47,3.5
RA_81.052__DEC_22.141,2633.110308667309,1816.4368376264752,81.05107717613457,22.14001505452935,15.0,14.0,NO,232,138.21017007639264,131.82608520290253,128.79,1.17,131.82608520290253,128.79,1.17,99.66055899276104,89.46,1.27,3.5,3,23,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,131.83,128.79,1.17,3.5
RA_81.052__DEC_22.141,2633.110308667309,1816.4368376264752,81.05107717613457,22.14001505452935,15.0,14.0,NO,232,138.21017007639264,131.82608520290253,128.79,1.17,131.82608520290253,128.79,1.17,99.66055899276104,89.46,1.27,3.5,3,23,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,131.83,128.79,1.17,3.5
