# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T23:37:04.077
# DATE-END: 2025-01-20T23:37:05.137
# TSTART: 1737416224076.7
# TSTOP: 1737416225076.7
# DATE: 2025-01-20T23:37:07
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.6304099534653
# DEC: 21.5185099389576
# EQUINOX: 2000.0
# CRVAL1: 83.6304099534653
# CRVAL2: 21.5185099389576
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000913071772347353
# CD1_2: -0.00158166548518282
# CD2_1: 0.00158113195265321
# CD2_2: -0.000913434027651369
# A_ORDER: 2
# A_0_2: -2.5551110762929e-07
# A_1_1: -1.18195985461522e-08
# A_2_0: -2.03143439154173e-07
# B_ORDER: 2
# B_0_2: 9.56225425925473e-08
# B_1_1: -8.40386077641867e-08
# B_2_0: 1.13416606505132e-08
# AP_ORDER: 2
# AP_0_0: 1.86243995550228e-06
# AP_0_1: -2.83396183847819e-08
# AP_0_2: 2.55510454286463e-07
# AP_1_0: 1.76136805808593e-07
# AP_1_1: 1.18173626477229e-08
# AP_2_0: 2.03140554764228e-07
# BP_ORDER: 2
# BP_0_0: 1.33734761907182e-07
# BP_0_1: 4.78261516904198e-08
# BP_0_2: -9.56231002229584e-08
# BP_1_0: -1.89062049354078e-08
# BP_1_1: 8.40384352710485e-08
# BP_2_0: -1.13416619747519e-08
# NOME_FILE_FITS: 20250120_233703.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_3_stelle_trovate_e_catalogate_immagine_078.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_80.494__DEC_22.956,3023.2849023677973,1991.9092045272232,80.49316864927042,22.954674090730133,28.0,24.0,NO,103,276.0342319274563,252.48087451842136,253.31,2.91,259.2007508367016,257.98,3.24,234.2594758460357,230.81,3.14,4.287215085775674,3,78,SI (Rank 1),I/239/hip_main,25068.0,80.4940762031,22.9537778593,8.86,268.25,268.68,2.59,4.86
RA_80.494__DEC_22.956,3023.2849023677973,1991.9092045272232,80.49316864927042,22.954674090730133,28.0,24.0,NO,103,276.0342319274563,252.48087451842136,253.31,2.91,259.2007508367016,257.98,3.24,234.2594758460357,230.81,3.14,4.287215085775674,3,78,SI (Rank 2),II/389/ps1_dr2,1.3554080494877482e+17,80.49473708,22.95344273,13.0488,268.25,268.68,2.59,4.86
RA_80.494__DEC_22.956,3023.2849023677973,1991.9092045272232,80.49316864927042,22.954674090730133,28.0,24.0,NO,103,276.0342319274563,252.48087451842136,253.31,2.91,259.2007508367016,257.98,3.24,234.2594758460357,230.81,3.14,4.287215085775674,3,78,SI (Rank 3),II/389/ps1_dr2,1.3554080495605722e+17,80.4955215,22.95561822,13.1194,268.25,268.68,2.59,4.86
RA_80.494__DEC_22.956,3023.2849023677973,1991.9092045272232,80.49316864927042,22.954674090730133,28.0,24.0,NO,103,276.0342319274563,252.48087451842136,253.31,2.91,259.2007508367016,257.98,3.24,234.2594758460357,230.81,3.14,4.287215085775674,3,78,SI (Rank 4),II/389/ps1_dr2,1.3554080493675554e+17,80.49352418,22.95416734,13.3754,268.25,268.68,2.59,4.86
RA_80.494__DEC_22.956,3023.2849023677973,1991.9092045272232,80.49316864927042,22.954674090730133,28.0,24.0,NO,88,276.0342319274563,252.48087451842136,253.31,2.91,259.2007508367016,257.98,3.24,234.2594758460357,230.81,3.14,4.287215085775674,3,78,SI (Rank 5),II/389/ps1_dr2,1.3553080497395885e+17,80.49740861252,22.94857047003,14.984,268.25,268.68,2.59,4.86
RA_81.052__DEC_22.141,2493.5114886310976,1979.472653354508,81.05288484268273,22.13972124217712,14.0,14.0,NO,232,135.810212201688,125.9740898387332,128.79,1.17,125.9740898387332,128.79,1.17,95.95963419021896,89.46,1.27,3.5,3,78,SI (Rank 1),I/239/hip_main,25264.0,81.0513965796,22.1402783861,10.0,125.97,128.79,1.17,3.5
RA_81.052__DEC_22.141,2493.5114886310976,1979.472653354508,81.05288484268273,22.13972124217712,14.0,14.0,NO,232,135.810212201688,125.9740898387332,128.79,1.17,125.9740898387332,128.79,1.17,95.95963419021896,89.46,1.27,3.5,3,78,SI (Rank 2),I/239/hip_main,25266.0,81.0533575287,22.1379121185,10.59,125.97,128.79,1.17,3.5
RA_81.052__DEC_22.141,2493.5114886310976,1979.472653354508,81.05288484268273,22.13972124217712,14.0,14.0,NO,232,135.810212201688,125.9740898387332,128.79,1.17,125.9740898387332,128.79,1.17,95.95963419021896,89.46,1.27,3.5,3,78,SI (Rank 3),II/389/ps1_dr2,1.345608105354958e+17,81.05371687,22.13772833,10.8885,125.97,128.79,1.17,3.5
RA_81.052__DEC_22.141,2493.5114886310976,1979.472653354508,81.05288484268273,22.13972124217712,14.0,14.0,NO,232,135.810212201688,125.9740898387332,128.79,1.17,125.9740898387332,128.79,1.17,95.95963419021896,89.46,1.27,3.5,3,78,SI (Rank 4),II/389/ps1_dr2,1.3456081050946931e+17,81.05098938,22.14065499,14.7669,125.97,128.79,1.17,3.5
RA_81.080__DEC_22.307,2564.675484593112,1920.997286964761,81.0796237160806,22.3059351578894,26.0,29.0,NO,235,268.75072192462494,245.4689391146968,256.46,1.67,247.2257869475256,257.63,1.74,230.710317185732,236.27,1.63,3.6427233120845854,3,78,SI (Rank 1),I/239/hip_main,25274.0,81.0798547703,22.3056335726,8.8,253.1,263.07,1.53,3.99
